date,code,market,name,mcap,shares,sect
2026-08-21,095570,KOSPI,AJ네트웍스,196396974060,45252759,
2026-08-21,006840,KOSPI,AK홀딩스,102006219700,13247561,
2026-08-21,027410,KOSPI,BGF,374731236765,95716791,
2026-08-21,282330,KOSPI,BGF리테일,2443944308400,17283906,
2026-08-21,138930,KOSPI,BNK금융지주,4440779842230,310327033,
2026-08-21,001460,KOSPI,BYC,231107550000,6246150,
2026-08-21,001465,KOSPI,BYC우,57615487500,2153850,
2026-08-21,001040,KOSPI,CJ,3539169857400,29176998,
2026-08-21,079160,KOSPI,CJ CGV,844472264700,165582797,
2026-08-21,00104K,KOSPI,CJ4우(전환),496615160000,4226512,
2026-08-21,000120,KOSPI,CJ대한통운,1674426049600,22812344,
2026-08-21,011150,KOSPI,CJ씨푸드,72400507595,35930773,
2026-08-21,011155,KOSPI,CJ씨푸드1우,1378000000,200000,
2026-08-21,001045,KOSPI,CJ우,157537543100,2260223,
2026-08-21,097950,KOSPI,CJ제일제당,2769970224000,15054186,
2026-08-21,097955,KOSPI,CJ제일제당 우,167389301300,1327433,
2026-08-21,000480,KOSPI,CR홀딩스,211007205000,46890490,
2026-08-21,000590,KOSPI,CS홀딩스,78042983200,1154482,
2026-08-21,012030,KOSPI,DB,293311594314,201173933,
2026-08-21,005830,KOSPI,DB손해보험,11645962052200,65500349,
2026-08-21,016610,KOSPI,DB증권,391355706580,42446389,
2026-08-21,000990,KOSPI,DB하이텍,3902361543600,43504588,
2026-08-21,000300,KOSPI,DH오토넥스,174035631000,41437055,
2026-08-21,001530,KOSPI,DI동일,496139122950,20715621,
2026-08-21,015590,KOSPI,DKME,78492572760,53396308,
2026-08-21,000210,KOSPI,DL,978639782800,20955884,
2026-08-21,000215,KOSPI,DL우,39117868000,1686115,
2026-08-21,375500,KOSPI,DL이앤씨,2638905088600,38693623,
2026-08-21,37550L,KOSPI,DL이앤씨2우(전환),97572136200,2111951,
2026-08-21,37550K,KOSPI,DL이앤씨우,52212959500,2113885,
2026-08-21,007340,KOSPI,DN오토모티브,2586180233000,58510865,
2026-08-21,004840,KOSPI,DRB동일,81811185180,19272364,
2026-08-21,155660,KOSPI,DSR,70080000000,16000000,
2026-08-21,069730,KOSPI,DSR제강,78480000000,14400000,
2026-08-21,017860,KOSPI,DS단석,196771260120,17759139,
2026-08-21,092780,KOSPI,DYP,44970290900,13168460,
2026-08-21,017940,KOSPI,E1,633864000000,6860000,
2026-08-21,365550,KOSPI,ESR켄달스퀘어리츠,734575665000,246089000,
