date,code,BPS,PER,PBR,EPS,DIV,DPS,src_rcept
2025-12-31,005930,72578.35,37.1824,3.8786,7570.7914,0.6014,1692.9031,20260310002820
2025-12-31,000660,164979.3807,29.4448,10.4862,58753.9159,0.133,2301.4149,20260317000635
2025-12-31,402340,209488.2767,16.7893,5.3607,66887.9896,0.0012,13.6442,20260317000830
2025-12-31,207940,160962.5745,40.2372,9.6358,38546.455,0.0,0.0,20260515001658
2025-12-31,032830,313621.48,28.53,1.0474,11514.185,1.331,4372.23,20260331004244
2025-12-31,028260,307779.7186,26.2953,1.285,15040.7016,0.6635,2623.9821,20260312000856
2025-12-31,000270,156726.0422,6.759,0.8352,19366.6272,5.0074,6554.7126,20260312001224
2025-12-31,055550,123462.014,9.8299,0.8432,10590.1767,2.6475,2756.0493,20260318000826
2025-12-31,329180,89000.6758,33.5909,5.0898,13485.7875,0.7022,3180.9431,20260320000859
2025-12-31,012330,541895.352,12.3102,0.9153,40291.9203,1.2963,6429.6968,20260309001878
2025-12-31,034730,347396.6481,26.5957,1.6868,22033.6337,3.6349,21300.7921,20260318001157
2025-12-31,000810,476125.3248,14.6223,1.3883,45204.9358,2.7392,18105.9767,20260312001399
2025-12-31,010120,13798.4423,97.8637,13.5523,1910.82,0.3116,582.6656,20260318001243
2025-12-31,009540,187727.7489,11.3744,1.8564,30638.9283,2.9,10106.3706,20260320001032
2025-12-31,017670,59886.8654,53.7488,1.7066,1901.4381,2.8625,2925.4567,20260318000532
2025-12-31,051910,465285.5905,,0.5427,-25774.0276,1.2711,3209.4416,20260313001195
2025-12-31,010140,4714.7038,32.5843,4.2845,619.9314,0.0061,1.2312,20260312001037
2025-12-31,018260,128151.8287,23.2274,1.7791,9815.9783,1.3214,3012.8951,20260310002989
2025-12-31,196170,8307.9761,121.0426,38.5172,2643.6964,0.0,0.0,20260323001596
2025-12-31,267250,128066.4362,17.4775,1.6632,12187.1079,1.5119,3220.3544,20260320000872
2025-12-31,079550,65004.5432,60.3499,10.6916,11516.1737,0.3421,2377.5665,20260323001211
2025-12-31,086280,138016.0611,8.5091,1.4252,23116.5135,1.881,3700.0,20260318001205
2025-12-31,003670,45730.5331,427.0548,3.3872,362.7169,0.0079,12.164,20260312000826
2025-12-31,011070,243504.7934,38.1434,2.2587,14419.2528,0.38,2089.778,20260312001270
2025-12-31,047810,18775.7637,68.1689,6.9238,1907.0287,0.3846,500.0,20260318001461
2025-12-31,307950,6296.3862,680.9907,71.1519,657.8651,0.0062,27.5795,20260320000971
2025-12-31,000720,74219.1121,31.5135,1.4228,3350.9446,0.5855,618.3155,20260318001395
2025-12-31,005830,166118.8248,6.5133,1.0703,27297.9614,3.5059,6233.4935,20260331003904
2025-12-31,071050,215523.7183,5.0887,0.8561,36256.6,2.3172,4275.2043,20260319001006
2025-12-31,005940,25550.3278,9.3411,1.0215,2794.1006,3.4074,889.319,20260313000771
2025-12-31,0126Z0,237341.0526,105.0002,1.5168,3428.5652,0.0,0.0,20260515003119
2025-12-31,443060,18395.298,32.8803,10.7473,6012.7255,2.4277,4799.545,20260316001512
2025-12-31,277810,6898.5377,6195.9307,65.811,73.2739,0.0,0.0,20260320000803
2025-12-31,090430,93161.4739,34.2495,1.4813,4029.2572,1.1433,1577.7338,20260318000785
2025-12-31,007660,382.8965,1454.7821,259.339,68.2576,0.0,0.0,20260318000683
2025-12-31,009830,40469.2755,,0.792,-2892.2347,1.264,405.1268,20260325001401
2025-12-31,326030,10381.8412,24.5544,8.0622,3408.7526,0.0,0.0,20260318000773
2025-12-31,047040,8147.0686,,1.9553,-2220.1187,0.0448,7.1324,20260318001029
2025-12-31,032640,20891.3257,12.0474,0.7118,1234.2879,4.4268,658.2699,20260313000442
2025-12-31,267270,37670.0567,55.695,3.0661,2073.7936,0.1593,183.9431,20260602000456
2025-12-31,029780,76500.6805,8.2779,0.6033,5575.0836,5.5881,2578.913,20260311004049
2025-12-31,128940,97553.445,31.3939,4.2592,13235.0675,0.5797,2408.5098,20260320001130
2025-12-31,271560,96351.6361,12.9523,1.3015,9681.6783,2.1423,2686.4674,20260318001320
2025-12-31,010060,210597.8219,,1.2583,-4814.0845,1.1205,2969.2824,20260318000617
2025-12-31,036570,156185.7499,13.9517,1.4374,16091.2573,0.5854,1314.2608,20260318001448
2025-12-31,000500,16246.7322,91.6562,9.7373,1726.016,0.2571,406.7896,20260316000969
2025-12-31,454910,5377.8941,,13.1836,-856.1456,0.0,0.0,20260318001562
2025-12-31,066970,16543.7872,,6.3166,-13114.1628,0.0,0.0,20260814000818
2025-12-31,001450,60499.9254,4.1587,0.8223,11962.9441,0.0,0.0,20260312001448
2025-12-31,298380,2763.4631,,27.2122,-675.2672,0.0,0.0,20260312000744
2025-12-31,214450,66347.8882,25.2,6.0364,15892.8345,0.2819,1128.8749,20260319001417
2025-12-31,011790,16776.1145,,4.9714,-14806.7226,0.2138,178.3293,20260610000521
2025-12-31,000990,49244.5613,15.2393,1.8215,5886.0895,1.2951,1161.7353,20260601001661
2025-12-31,004170,471704.3436,271.4201,0.849,1475.5722,2.2758,9114.772,20260316001039
2025-12-31,222800,15365.5344,,6.4885,-4382.0077,0.112,111.6964,20260317000641
2025-12-31,141080,13712.0987,,7.2928,-2473.0843,0.0,0.0,20260323001538
2025-12-31,082740,6664.1336,21.1795,6.6175,2082.1975,0.0,0.0,20260318000939
2025-12-31,004020,145157.9663,,0.186,-51.8297,2.7633,746.0963,20260318001506
2025-12-31,319660,18605.7033,45.0659,6.5679,2711.5835,0.3273,400.0,20260323000017
2025-12-31,018880,3671.3439,,0.9261,-193.4653,0.0,0.0,20260318000645
2025-12-31,095340,25315.9623,58.271,6.095,2647.9745,0.5068,781.9951,20260318000018
2025-12-31,103590,12344.9007,30.1105,5.3139,2178.6438,0.4572,299.9489,20260311004216
2025-12-31,192820,49179.1531,24.9928,5.5105,10843.1262,0.8484,2299.2204,20260318000694
2025-12-31,145020,75928.5784,21.766,3.2267,11256.0786,0.0,0.0,20260320000349
2025-12-31,022100,3746.4275,56.9533,5.2076,342.5616,0.6433,125.5069,20260417000431
2025-12-31,031210,74331.0805,11.018,0.5697,3843.7025,6.7668,2865.7476,20260323000639
2025-12-31,009420,3094.9354,,18.2556,-106.4145,0.0,0.0,20260318001637
2025-12-31,011780,248249.4414,10.1343,0.4721,11564.6929,1.9507,2286.2556,20260318001268
2025-12-31,012750,46220.0601,16.3431,1.6616,4699.2291,3.1281,2402.3584,20260311004583
2025-12-31,302440,22799.8783,,1.6009,-731.9272,0.0,0.0,20260313000936
2025-12-31,006360,56004.6571,30.4282,0.5937,1092.7363,1.4707,489.0076,20260701000624
2025-12-31,310210,5627.8573,,27.0263,-2315.5733,0.0,0.0,20260320000892
2025-12-31,097950,468879.8238,,0.3924,-37959.9149,4.3408,7987.1597,20260316001116
2025-12-31,023530,536786.5694,53.0597,0.1801,1822.4761,7.1141,6879.2937,20260312001405
2025-12-31,004370,465374.1676,15.4629,0.9294,27970.2428,1.099,4753.2298,20260311003892
2025-12-31,095610,20235.2152,45.2046,6.5678,2939.9688,0.4091,543.633,20260313000585
2025-12-31,026960,17272.25,17.686,1.4879,1453.1232,4.4502,1143.7059,20260312000207
2025-12-31,319400,1439.2991,225.3391,15.8758,101.4027,0.2246,51.3158,20260318001359
2025-12-31,080220,6593.0297,64.0769,11.1481,1147.0597,0.0,0.0,20260323001029
2025-12-31,131290,35375.2817,64.2338,6.2756,3456.1243,0.1757,390.0227,20260318000738
2025-12-31,005850,54954.1907,7.8302,0.9535,6692.021,2.4726,1295.6382,20260318000781
2025-12-31,336260,5610.9259,,6.5943,-2027.74,0.0,0.0,20260318001264
2025-12-31,383220,49042.6085,5.9787,1.2683,10403.5925,2.6815,1667.9145,20260318001512
2025-12-31,011170,294208.1507,,0.1846,-47623.9666,3.5819,1944.961,20260312001296
2025-12-31,000240,50361.4804,6.3567,0.4617,3657.5384,4.6772,1087.4498,20260318000997
2025-12-31,103140,82005.0225,14.8153,0.9487,5251.3194,3.257,2533.9803,20260312001327
2025-12-31,007070,39283.6339,49.6644,0.6568,519.4873,1.937,499.7499,20260311004487
2025-12-31,058610,11632.7732,231.8912,8.2096,411.831,0.2618,250.0,20260318000411
2025-12-31,214150,8476.5592,15.8966,3.7928,2022.4509,0.8026,258.0467,20260323001541
2025-12-31,226950,7092.0747,,13.8323,-747.4132,0.0,0.0,20260318000903
2025-12-31,002790,45543.2503,16.0266,0.5709,1622.3004,4.9306,1281.9538,20260318000825
2025-12-31,139480,398576.9454,14.5687,0.1804,4935.2284,6.1875,4448.8395,20260318001024
2025-12-31,051600,29905.9047,15.8655,1.4646,2760.6986,5.637,2469.0,20260323000091
2025-12-31,112610,27342.2061,56.5705,1.7025,822.8675,2.1109,982.6251,20260318001110
2025-12-31,010170,428.6675,,28.2737,-179.9068,0.0,0.0,20260319000854
2025-12-31,439260,28679.9815,7.5098,1.7103,6531.4542,0.0,0.0,20260323000620
2025-12-31,140860,32148.6486,52.7078,8.0719,4923.3672,0.1909,495.4531,20260319000022
2025-12-31,071970,14413.0502,10.2113,3.4483,4867.1688,0.0,0.0,20260316001327
2025-12-31,041510,43792.8509,4.7014,1.6281,15165.6468,0.7897,563.0237,20260317000781
2025-12-31,060370,12023.0991,193.4812,2.5742,159.9638,0.31,95.9377,20260316000800
2025-12-31,096530,19443.3359,32.9964,1.5687,924.3437,2.3166,706.5601,20260319000422
2025-12-31,0009K0,2977.6611,315.465,8.2279,77.6631,0.0,0.0,20260319001271
2025-12-31,020150,31623.1788,,0.9313,-3008.6136,0.0,0.0,20260310002974
2025-12-31,007390,978.1925,,24.2795,-44.0491,0.0,0.0,20260323001523
2025-12-31,097230,7415.9859,29.7391,2.2843,569.6196,0.0,0.0,20260319000606
2025-12-31,030530,12943.3173,54.2963,1.4873,354.536,0.1612,31.0314,20260319001183
2025-12-31,120110,131155.0158,38.8349,0.3786,1278.4908,4.0068,1989.3848,20260331001900
2025-12-31,323280,4194.278,,11.5515,-83.0828,0.0,0.0,20260323000642
2025-12-31,001120,71516.9804,10.3589,0.5299,3658.6782,7.6925,2915.4625,20260318000623
2025-12-31,020560,3621.5806,,1.9301,-1374.0433,0.7583,53.0072,20260318001045
2025-12-31,039200,4739.05,26.8245,7.7442,1368.1542,0.0,0.0,20260319001005
