anchor,code
2012-08,000100
2012-08,000210
2012-08,000240
2012-08,000810
2012-08,001300
2012-08,001800
2012-08,002270
2012-08,002380
2012-08,002550
2012-08,002790
2012-08,003600
2012-08,003690
2012-08,003920
2012-08,004990
2012-08,005180
2012-08,005300
2012-08,005380
2012-08,005385
2012-08,005387
2012-08,005440
2012-08,005490
2012-08,005830
2012-08,005850
2012-08,005930
2012-08,005935
2012-08,006260
2012-08,006360
2012-08,007310
2012-08,009540
2012-08,010130
2012-08,010620
2012-08,010950
2012-08,011170
2012-08,012330
2012-08,012750
2012-08,016360
2012-08,018670
2012-08,018880
2012-08,020000
2012-08,020560
2012-08,021240
2012-08,024110
2012-08,026960
2012-08,030000
2012-08,032640
2012-08,033780
2012-08,035760
2012-08,036460
2012-08,036830
2014-08,000100
2014-08,000210
2014-08,000240
2014-08,000810
2014-08,000815
2014-08,000830
2014-08,001300
2014-08,001450
2014-08,001800
2014-08,002270
2014-08,002380
2014-08,002550
2014-08,002790
2014-08,002960
2014-08,003600
2014-08,003670
2014-08,003920
2014-08,004990
2014-08,005180
2014-08,005300
2014-08,005380
2014-08,005385
2014-08,005387
2014-08,005440
2014-08,005490
2014-08,005610
2014-08,005830
2014-08,005850
2014-08,005930
2014-08,005935
2014-08,006260
2014-08,006280
2014-08,006400
2014-08,007310
2014-08,009540
2014-08,010130
2014-08,010950
2014-08,011170
2014-08,011790
2014-08,012330
2014-08,012750
2014-08,014620
2014-08,016170
2014-08,018670
2014-08,018880
2014-08,020000
2014-08,021240
2014-08,022100
2014-08,030000
2014-08,033780
2014-08,034810
2014-08,035250
2014-08,035760
2014-08,036460
2014-08,036580
2014-08,039030
2014-08,049770
2014-08,051900
2014-08,051905
2014-08,051910
2014-08,051915
2014-08,056190
2014-08,058470
2014-08,058650
2016-08,000100
2016-08,000240
2016-08,000810
2016-08,000815
2016-08,001300
2016-08,001450
2016-08,001800
2016-08,002270
2016-08,002380
2016-08,002550
2016-08,002620
2016-08,002790
2016-08,002960
2016-08,003600
2016-08,003670
2016-08,003920
2016-08,004990
2016-08,005180
2016-08,005300
2016-08,005380
2016-08,005385
2016-08,005387
2016-08,005440
2016-08,005610
2016-08,005830
2016-08,005850
2016-08,005930
2016-08,005935
2016-08,006280
2016-08,006400
2016-08,006650
2016-08,007310
2016-08,009240
2016-08,009970
2016-08,010130
2016-08,011170
2016-08,011790
2016-08,012330
2016-08,012750
2016-08,016170
2016-08,018670
2016-08,018880
2016-08,020000
2016-08,021240
2016-08,030000
2016-08,031440
2016-08,033780
2016-08,034310
2016-08,035250
2016-08,035420
2016-08,035760
2016-08,036490
2016-08,036830
2016-08,039030
2016-08,041960
2016-08,049770
2016-08,051900
2016-08,051905
2016-08,051910
2016-08,051915
2016-08,058470
2016-08,058650
2016-08,067080
2016-08,069960
2018-08,000100
2018-08,000810
2018-08,000815
2018-08,001300
2018-08,001450
2018-08,001800
2018-08,002270
2018-08,002380
2018-08,002550
2018-08,002790
2018-08,003600
2018-08,003670
2018-08,004990
2018-08,005180
2018-08,005290
2018-08,005300
2018-08,005385
2018-08,005387
2018-08,005440
2018-08,005610
2018-08,005830
2018-08,005850
2018-08,005930
2018-08,005935
2018-08,006280
2018-08,006650
2018-08,007310
2018-08,009240
2018-08,009970
2018-08,010130
2018-08,011170
2018-08,012330
2018-08,012750
2018-08,016170
2018-08,018670
2018-08,018880
2018-08,020000
2018-08,021240
2018-08,030000
2018-08,033780
2018-08,034230
2018-08,034310
2018-08,035250
2018-08,035420
2018-08,035600
2018-08,036490
2018-08,036830
2018-08,039030
2018-08,039130
2018-08,039840
2018-08,041960
2018-08,049770
2018-08,049950
2018-08,051900
2018-08,051905
2018-08,051910
2018-08,051915
2018-08,058470
2018-08,067080
2018-08,068270
2018-08,073070
2018-08,078160
2018-08,079160
2018-08,084990
2018-08,085660
2018-08,090430
2018-08,090435
2020-08,000100
2020-08,000250
2020-08,000810
2020-08,001300
2020-08,002390
2020-08,002550
2020-08,002790
2020-08,003600
2020-08,003670
2020-08,005290
2020-08,005300
2020-08,005385
2020-08,005387
2020-08,005610
2020-08,005830
2020-08,005930
2020-08,005935
2020-08,006400
2020-08,006650
2020-08,007310
2020-08,009240
2020-08,010130
2020-08,011170
2020-08,012750
2020-08,016170
2020-08,018670
2020-08,018880
2020-08,019170
2020-08,020000
2020-08,021240
2020-08,030000
2020-08,032190
2020-08,033270
2020-08,033780
2020-08,034310
2020-08,035420
2020-08,035600
2020-08,036490
2020-08,039030
2020-08,039490
2020-08,041960
2020-08,049770
2020-08,051900
2020-08,051905
2020-08,051915
2020-08,058470
2020-08,064760
2020-08,067160
2020-08,068270
2020-08,078340
2020-08,081000
2020-08,084990
2020-08,085660
2020-08,086450
2020-08,090430
2020-08,090435
2020-08,090460
2020-08,098460
2026-08,000100
2026-08,000250
2026-08,001300
2026-08,002550
2026-08,002840
2026-08,003600
2026-08,003670
2026-08,005290
2026-08,005850
2026-08,005930
2026-08,005935
2026-08,006400
2026-08,007340
2026-08,010130
2026-08,016170
2026-08,018670
2026-08,023890
2026-08,033660
2026-08,035420
2026-08,036490
2026-08,039030
2026-08,039490
2026-08,045100
2026-08,048260
2026-08,053610
2026-08,058470
2026-08,060370
2026-08,064760
2026-08,068270
2026-08,074600
2026-08,078600
2026-08,082920
2026-08,083450
2026-08,086450
2026-08,086520
2026-08,088980
2026-08,090360
2026-08,093320
2026-08,101490
2026-08,102710
2026-08,108320
2026-08,119860
2026-08,131970
2026-08,137400
2026-08,138040
2026-08,140410
2026-08,141080
2026-08,180640
