rank,code,name,j6,style,overlay,리스크,보유기간,vol60,이격도,추세,rs,비고
156,450080,에코프로머티,True,스윙,,1.0,2주~2개월,5.5,0.584,이탈,-81.5,표준 매도규칙서 v2
287,247540,에코프로비엠,True,스윙,,1.0,2주~2개월,5.7,0.621,이탈,-82.6,표준 매도규칙서 v2
309,086520,에코프로,True,단기,,0.5,수일~2주,6.5,0.689,이탈,-83.4,초고변동: 작게·짧게(매도규칙서 §3 돌파 준함)
387,089030,테크윙,True,단기,,0.5,수일~2주,8.2,0.947,이탈,-25.7,초고변동: 작게·짧게(매도규칙서 §3 돌파 준함)
390,353200,대덕전자,True,단기,,0.5,수일~2주,8.4,1.189,위,41.2,초고변동: 작게·짧게(매도규칙서 §3 돌파 준함)
430,036930,주성엔지니어링,True,단기,진입보류(과열),0.5,수일~2주,9.9,1.732,위,222.5,초고변동: 작게·짧게(매도규칙서 §3 돌파 준함)
1,094970,제이엠티,False,스윙,,1.0,2주~2개월,3.9,0.922,이탈,-34.3,표준 매도규칙서 v2
2,126880,제이엔케이글로벌,False,스윙,,1.0,2주~2개월,3.1,0.722,이탈,-67.8,표준 매도규칙서 v2
3,004490,세방전지,False,스윙,,1.0,2주~2개월,3.6,0.903,이탈,-49.3,표준 매도규칙서 v2
4,000490,대동,False,스윙,,1.0,2주~2개월,4.2,0.823,이탈,-70.2,표준 매도규칙서 v2
5,105740,디케이락,False,스윙,,1.0,2주~2개월,3.2,0.794,이탈,-61.4,표준 매도규칙서 v2
6,019180,티에이치엔,False,스윙,,1.0,2주~2개월,3.9,0.746,이탈,-67.1,표준 매도규칙서 v2
7,091700,파트론,False,스윙,,1.0,2주~2개월,2.7,0.779,이탈,-57.8,표준 매도규칙서 v2
8,094840,슈프리마에이치큐,False,스윙,진입보류(과열),1.0,2주~2개월,4.2,1.439,위,54.6,표준 매도규칙서 v2
9,068790,DMS,False,스윙,,1.0,2주~2개월,4.6,1.113,위,-16.4,표준 매도규칙서 v2
10,002900,TYM,False,스윙,,1.0,2주~2개월,3.7,1.059,위,-37.9,표준 매도규칙서 v2
11,049430,코메론,False,중장기,,1.0,2개월+,2.4,1.173,위,-8.0,추세 유지 동안 보유(시간손절 없음)
12,083930,아바코,False,스윙,,1.0,2주~2개월,3.6,0.824,이탈,-64.6,표준 매도규칙서 v2
13,241560,두산밥캣,False,스윙,,1.0,2주~2개월,3.5,0.922,이탈,-38.5,표준 매도규칙서 v2
14,049070,인탑스,False,스윙,,1.0,2주~2개월,4.9,0.951,이탈,-47.4,표준 매도규칙서 v2
15,051370,인터플렉스,False,스윙,,1.0,2주~2개월,4.6,0.551,이탈,-90.1,표준 매도규칙서 v2
16,297890,HB솔루션,False,스윙,,1.0,2주~2개월,4.6,0.792,이탈,-60.9,표준 매도규칙서 v2
17,108320,LX세미콘,False,스윙,,1.0,2주~2개월,4.6,0.738,이탈,-67.5,표준 매도규칙서 v2
18,282880,코윈테크,False,스윙,,1.0,2주~2개월,4.4,0.648,이탈,-80.7,표준 매도규칙서 v2
19,347890,엠엑스온,False,스윙,,1.0,2주~2개월,2.9,0.812,이탈,-64.7,표준 매도규칙서 v2
20,039010,현대에이치티,False,스윙,,1.0,2주~2개월,4.9,0.822,이탈,-51.8,표준 매도규칙서 v2
21,034220,LG디스플레이,False,스윙,,1.0,2주~2개월,4.2,0.775,이탈,-51.0,표준 매도규칙서 v2
22,056190,에스에프에이,False,스윙,,1.0,2주~2개월,4.6,0.904,이탈,-58.0,표준 매도규칙서 v2
23,092220,KEC,False,스윙,,1.0,2주~2개월,5.2,1.277,위,181.4,표준 매도규칙서 v2
24,088130,동아엘텍,False,스윙,,1.0,2주~2개월,4.9,0.829,이탈,-72.3,표준 매도규칙서 v2
25,054950,제이브이엠,False,스윙,,1.0,2주~2개월,2.7,0.958,이탈,-42.2,표준 매도규칙서 v2
26,054210,이랜텍,False,스윙,,1.0,2주~2개월,4.8,0.719,이탈,-69.8,표준 매도규칙서 v2
27,126700,하이비젼시스템,False,스윙,,1.0,2주~2개월,5.2,0.703,이탈,-73.6,표준 매도규칙서 v2
28,243840,신흥에스이씨,False,스윙,,1.0,2주~2개월,4.9,0.787,이탈,-53.4,표준 매도규칙서 v2
29,217820,원익피앤이,False,스윙,,1.0,2주~2개월,4.7,0.589,이탈,-91.0,표준 매도규칙서 v2
30,060720,KH바텍,False,스윙,,1.0,2주~2개월,4.7,0.786,이탈,-75.5,표준 매도규칙서 v2
