구분,code,name,PBR,이격,20일수익%,시총조원,신호월
후보,013890,지누스,0.31,0.75,0.3,0.2,2026-06
관심,001130,대한제분,0.18,0.094,-3.4,0.19,2026-06
관심,001230,동국홀딩스,0.15,0.243,-14.6,0.27,2026-06
관심,053350,,0.38,0.515,1.2,0.06,2026-06
관심,035760,,0.24,0.531,-19.6,0.7,2026-06
관심,036220,,0.28,0.553,-15.4,0.08,2026-06
관심,019680,대교,0.27,0.555,-20.4,0.08,2026-06
관심,002030,아세아,0.24,0.585,-15.0,0.35,2026-06
관심,082850,,0.26,0.594,-32.3,0.06,2026-06
관심,084010,대한제강,0.26,0.617,-12.9,0.27,2026-06
관심,009580,무림P&P,0.16,0.62,-26.2,0.09,2026-06
관심,038110,,0.23,0.636,-25.0,0.08,2026-06
관심,034120,SBS,0.16,0.659,-15.6,0.21,2026-06
관심,363280,티와이홀딩스,0.08,0.671,-20.8,0.08,2026-06
관심,000105,유한양행우,0.0,0.672,-15.4,0.07,2026-06
관심,001520,동양,0.14,0.672,-9.7,0.12,2026-06
관심,006840,AK홀딩스,0.18,0.675,-21.8,0.07,2026-06
관심,108230,,0.28,0.675,-25.2,0.11,2026-06
관심,079980,휴비스,0.24,0.677,-17.9,0.06,2026-06
관심,063080,,0.32,0.679,-23.1,0.08,2026-06
관심,272550,삼양패키징,0.32,0.68,-13.5,0.13,2026-06
관심,039020,,0.31,0.681,-16.2,0.06,2026-06
관심,009200,무림페이퍼,0.13,0.693,-17.0,0.05,2026-06
관심,053700,,0.21,0.693,-31.4,0.1,2026-06
관심,027970,한국제지,0.25,0.7,-23.9,0.1,2026-06
관심,024880,,0.28,0.707,-23.3,0.08,2026-06
