date,code,name,side,price,qty,kind
2026-07-22,376900,로킷헬스케어,buy,53100,9,바닥반등
2026-07-22,475960,토모큐브,buy,36000,13,바닥반등
2026-08-18,078600,대주전자재료,sell,95600,20,익절매도
2026-08-18,347890,엠엑스온,buy,4720,176,딥밸류바닥
2026-08-18,071280,로체시스템즈,buy,7050,118,딥밸류바닥
2026-08-18,091700,파트론,buy,5820,143,딥밸류바닥
2026-08-18,108320,LX세미콘,buy,41500,20,딥밸류바닥
2026-08-18,041440,현대에버다임,buy,6500,128,딥밸류바닥
2026-08-18,126880,제이엔케이글로벌,buy,2830,294,딥밸류바닥
2026-08-18,053080,케이엔솔,buy,9100,91,딥밸류바닥
2026-08-18,054450,텔레칩스,buy,10170,81,딥밸류바닥
2026-08-18,126700,하이비젼시스템,buy,11200,74,딥밸류바닥
2026-08-18,045390,대아티아이,buy,2645,276,딥밸류바닥
2026-08-19,090460,비에이치,buy,16131,46,딥밸류바닥
2026-08-19,103140,풍산,buy,72660,10,딥밸류바닥
2026-08-19,083310,엘오티베큠,buy,10330,80,딥밸류바닥
2026-08-19,053080,케이엔솔,buy,9600,86,딥밸류바닥
2026-08-19,083930,아바코,buy,11390,73,딥밸류바닥
2026-08-19,347890,엠엑스온,buy,4675,178,딥밸류바닥
2026-08-19,115440,우리넷,buy,7450,111,딥밸류바닥
2026-08-19,019180,티에이치엔,buy,5760,144,딥밸류바닥
2026-08-19,045390,대아티아이,buy,3015,276,딥밸류바닥
2026-08-19,108320,LX세미콘,buy,39400,19,딥밸류바닥
2026-08-20,103140,풍산,buy,73630,10,딥밸류바닥
2026-08-20,090460,비에이치,buy,16154,49,딥밸류바닥
2026-08-20,053080,케이엔솔,buy,9750,85,딥밸류바닥
2026-08-20,243840,신흥에스이씨,buy,5160,161,딥밸류바닥
2026-08-20,088130,동아엘텍,buy,5240,159,딥밸류바닥
2026-08-20,100590,머큐리,buy,3735,223,딥밸류바닥
2026-08-20,255440,야스,buy,7830,106,딥밸류바닥
2026-08-20,347890,엠엑스온,buy,4570,182,딥밸류바닥
2026-08-20,115440,우리넷,buy,7260,114,딥밸류바닥
2026-08-20,054450,텔레칩스,buy,9450,80,딥밸류바닥
2026-08-21,103140,풍산,buy,74510,10,딥밸류바닥
2026-08-21,105740,디케이락,buy,7102,115,딥밸류바닥
2026-08-21,000490,대동,buy,7750,107,딥밸류바닥
2026-08-21,036010,아비코전자,buy,7060,118,딥밸류바닥
2026-08-21,039010,현대에이치티,buy,7300,114,딥밸류바닥
2026-08-21,083930,아바코,buy,11410,73,딥밸류바닥
2026-08-21,045390,대아티아이,buy,3120,267,딥밸류바닥
2026-08-21,053080,케이엔솔,buy,9650,86,딥밸류바닥
2026-08-21,100590,머큐리,buy,3750,222,딥밸류바닥
2026-08-21,347890,엠엑스온,buy,4650,163,딥밸류바닥
2026-08-24,247540,에코프로비엠,sell,105600,5,재난백스톱
2026-08-24,103140,풍산,buy,75140,10,딥밸류바닥
2026-08-24,105740,디케이락,buy,7128,115,딥밸류바닥
2026-08-24,317770,엑스페릭스,buy,2612,336,딥밸류바닥
2026-08-24,172670,에이엘티,buy,10280,81,딥밸류바닥
2026-08-24,088130,동아엘텍,buy,5270,158,딥밸류바닥
2026-08-24,432470,케이엔에스,buy,9320,89,딥밸류바닥
2026-08-24,039010,현대에이치티,buy,7160,116,딥밸류바닥
2026-08-24,393890,더블유씨피,buy,8600,96,딥밸류바닥
2026-08-24,347890,엠엑스온,buy,4570,182,딥밸류바닥
2026-08-24,100590,머큐리,buy,3550,219,딥밸류바닥
