날짜,코드,종목명,구분,가격,수량,메모
2026-08-10,078600,대주전자재료,매도,98500,20,[모의][DRY] 익절검토(강함에 판다: 수익+100%) DRY0001
2026-08-10,078150,HB테크놀러지,매수,1869,431,[모의][DRY] 딥밸류바닥 DRY0002
2026-08-10,115440,우리넷,매수,6834,113,[모의][DRY] 딥밸류바닥 DRY0003
2026-08-10,100590,머큐리,매수,3169,239,[모의][DRY] 딥밸류바닥 DRY0004
2026-08-10,255440,야스,매수,8000,104,[모의][DRY] 딥밸류바닥 DRY0005
2026-08-10,060720,KH바텍,매수,10600,78,[모의][DRY] 딥밸류바닥 DRY0006
2026-08-10,243840,신흥에스이씨,매수,4815,173,[모의][DRY] 딥밸류바닥 DRY0007
2026-08-10,126700,하이비젼시스템,매수,10600,78,[모의][DRY] 딥밸류바닥 DRY0008
2026-08-10,045390,대아티아이,매수,2570,324,[모의][DRY] 딥밸류바닥 DRY0009
2026-08-10,101170,우림피티에스,매수,8030,103,[모의][DRY] 딥밸류바닥 DRY0010
