code,name,state,n,close,pivot,stop,R,rs,depth,base_low,hi52
005930,삼성전자,WATCH,7,281500,374500,344540,,29.1,49.5,189200,374500
036930,주성엔지니어링,WATCH,7,168600,283000,260360,,183.1,65.8,96800,283000
000660,SK하이닉스,WATCH,6,1730000,2987000,2748040,,63.3,58.3,1246000,2987000
095610,테스,WATCH,6,132900,236500,217580,,61.1,58.6,97900,236500
222800,심텍,WATCH,6,99700,164200,151064,,75.3,62.5,61500,164200
319660,피에스케이,WATCH,6,122200,219500,201940,,82.6,55.4,98000,219500
353200,대덕전자,WATCH,5,104300,188450,173374,0.63,59.6,61.9,71800,198000
006400,삼성SDI,WATCH,4,478000,582000,535440,3.03,-0.1,41.3,341500,723000
012450,한화에어로스페이스,WATCH,4,1085000,1264000,1162880,3.87,-31.7,38.1,783000,1655000
039030,이오테크닉스,WATCH,4,404500,623000,573160,,-10.4,63.1,230000,623000
058610,에스피지,WATCH,4,95500,123800,113896,4.23,-47.0,50.7,61000,165700
082920,비츠로셀,WATCH,4,30500,51100,47012,4.09,26.2,52.3,24350,67800
084370,유진테크,WATCH,4,128500,231500,212980,,-24.2,62.8,86100,231500
090360,로보스타,WATCH,4,78200,159100,146372,0.98,-17.5,68.5,50100,171600
091580,상신이디피,WATCH,4,17050,20300,18676,6.93,-18.3,45.7,11030,31550
108490,로보티즈,WATCH,4,254000,369500,339940,3.2,-28.1,58.1,155000,464000
403870,HPSP,WATCH,4,44900,92000,84640,,-21.2,70.2,27450,92000
001440,대한전선,WATCH,3,26650,44150,40618,8.99,-38.0,53.5,20550,75900
042700,한미반도체,WATCH,3,213500,372500,342700,1.8,-12.5,60.0,148900,426000
047810,한국항공우주,WATCH,3,130000,166200,152904,3.71,-45.9,33.8,110000,215500
058470,리노공업,WATCH,3,65700,109500,100740,2.23,-50.9,50.7,54000,129000
062040,산일전기,WATCH,3,164800,272500,250700,3.14,-8.9,57.5,115800,341000
067310,하나마이크론,WATCH,3,35000,57000,52440,0.33,-18.6,56.8,24600,58500
078600,대주전자재료,WATCH,3,82900,132400,121808,4.81,-29.3,55.4,59100,183300
089030,테크윙,WATCH,3,48400,74000,68080,,-13.9,57.2,31700,74000
098460,고영,WATCH,3,28300,42350,38962,0.78,-30.3,50.2,21100,45000
103590,일진전기,WATCH,3,65600,93600,86112,7.25,-28.0,51.9,45000,147900
126340,비나텍,WATCH,3,62100,145000,133400,5.13,-63.6,70.2,43200,204500
240810,원익IPS,WATCH,3,107900,187800,172776,,-28.6,60.5,74100,187800
243840,신흥에스이씨,WATCH,3,4845,6550,6026,10.95,-41.0,47.7,3425,12290
272210,한화시스템,WATCH,3,70300,116500,107180,7.24,-58.7,56.5,50700,184000
277810,레인보우로보틱스,WATCH,3,454000,683000,628360,5.42,-55.2,46.8,363500,979000
298040,효성중공업,WATCH,3,2721000,4169000,3835480,1.72,-15.7,56.0,1834000,4742000
086520,에코프로,WATCH,2,81700,125500,115460,6.42,-71.3,49.5,63400,190000
090710,휴림로봇,WATCH,2,6630,12430,11435,14.24,-72.6,55.8,5500,26600
103140,풍산,WATCH,2,77800,87500,80500,10.24,-51.5,36.9,55200,159200
267260,HD현대일렉트릭,WATCH,2,718000,1213000,1115960,2.24,-48.0,55.6,538000,1430000
393890,더블유씨피,WATCH,2,8600,14290,13146,6.17,-31.9,61.4,5520,21350
454910,두산로보틱스,WATCH,2,70900,154000,141680,1.3,-48.5,64.8,54200,170000
010140,삼성중공업,WATCH,1,20200,29800,27416,2.33,-50.5,38.1,18440,35350
034020,두산에너빌리티,WATCH,1,73300,109300,100556,3.42,-48.2,47.8,57000,139200
051600,한전KPS,WATCH,1,43800,63900,58788,1.0,-49.3,35.1,41500,69000
052690,한전기술,WATCH,1,91500,158700,146004,3.1,-63.0,51.4,77100,198000
064350,현대로템,WATCH,1,130100,240000,220800,2.19,-59.9,52.9,113100,282000
101360,에코앤드림,WATCH,1,7330,12390,11398,14.63,-84.3,60.8,4855,26900
105840,우진,WATCH,1,11910,21050,19366,6.32,-75.4,50.9,10330,31700
247540,에코프로비엠,WATCH,1,105600,186500,171580,4.93,-69.7,52.7,88300,260000
329180,HD현대중공업,WATCH,1,453000,738000,678960,0.46,-43.8,44.2,411500,765000
009540,HD한국조선해양,WATCH,0,348500,451500,415380,1.19,-41.9,30.5,314000,494500
010120,LS일렉트릭,WATCH,0,187000,276500,254380,28.5,-92.0,46.5,148000,907000
042660,한화오션,WATCH,0,84200,141900,130548,1.14,-62.8,49.8,71300,154800
373220,LG에너지솔루션,WATCH,0,343500,425000,391000,3.0,-33.5,31.6,290500,527000
