star,code,name,ap,order,pbr,deep,bounce,imae,fmae,ext,r20,c,buy,stop,resist,vflag,tag
✦,103140,풍산,추세매수,혼조,0.77,1,1,0,1,0.82,19.0,77800,75140,67121,87500,소진,테마
✦,105740,디케이락,추세매수,혼조,0.51,1,1,0,0,0.79,8.0,7190,7128,6390,8460,보합,사냥터
✦,317770,엑스페릭스,반등관찰,혼조,1.07,1,1,0,0,0.83,7.0,2475,2612,2072,3930,소진,사냥터
✦,172670,에이엘티,하락회피,역배열,0.99,1,1,0,0,0.84,18.0,10280,,8224,18750,소진,사냥터
✦,088130,동아엘텍,하락회피,역배열,0.56,1,1,0,0,0.83,2.0,5270,,4524,9570,소진,사냥터
✦,432470,케이엔에스,하락회피,역배열,1.24,1,1,0,0,0.83,12.0,9320,,7456,11820,증가⚠,사냥터
✦,000490,대동,하락회피,역배열,0.41,1,1,0,0,0.82,9.0,7550,,6040,9660,소진,사냥터
✦,039010,현대에이치티,하락회피,역배열,0.53,1,1,0,0,0.82,4.0,7160,,5728,11730,증가⚠,사냥터
✦,083930,아바코,하락회피,역배열,0.73,1,1,0,0,0.82,8.0,11210,,10209,14700,소진,사냥터
✦,393890,더블유씨피,하락회피,역배열,0.4,1,1,0,0,0.82,8.0,8600,,6880,19200,보합,사냥터·테마
✦,347890,엠엑스온,하락회피,역배열,0.96,1,1,0,0,0.81,6.0,4570,,3731,6150,보합,사냥터
✦,036010,아비코전자,하락회피,역배열,0.97,1,1,0,0,0.8,8.0,6690,,5352,14260,증가⚠,사냥터
✦,100590,머큐리,하락회피,역배열,0.44,1,1,0,0,0.79,6.0,3550,,2840,8690,보합,사냥터
✦,243840,신흥에스이씨,하락회피,역배열,0.67,1,1,0,1,0.79,10.0,4845,,4011,8180,증가⚠,사냥터·테마
✦,255440,야스,하락회피,역배열,0.65,1,1,0,0,0.79,1.0,7410,,5928,10430,소진,사냥터
✦,053080,케이엔솔,하락회피,역배열,1.12,1,1,0,0,0.78,6.0,9010,,7208,14970,증가⚠,사냥터
✦,083310,엘오티베큠,하락회피,역배열,0.7,1,1,0,0,0.78,14.0,9560,,8060,14530,증가⚠,사냥터
✦,192650,드림텍,하락회피,역배열,0.89,1,1,0,0,0.73,5.0,4635,,4007,6550,소진,사냥터
✦,079370,제우스,하락회피,역배열,0.97,1,1,0,0,0.7,4.0,9820,,8395,14100,소진,사냥터
