rank,code,name,sector,src,score,pbr,pbr_rank,vol60,vol_rank,close,mcap,adv20,atr14,stop,stop_pct,qty,n_univ,is_jinwoo6
1,094970,제이엠티,전자부품 제조업,섹터,0.9830316742081449,0.32,4,0.03887311012923872,14,2700.0,51919544000,642189016.0,221.42857142857142,2160,20.0,185,442,False
2,126880,제이엔케이글로벌,일반 목적용 기계 제조업,섹터,0.9804864253393665,0.44,8,0.03129340200557958,7,2560.0,61841066495,599225754.5,162.85714285714286,2153,15.9,245,442,False
3,004490,세방전지,일차전지 및 이차전지 제조업,섹터,0.9802036199095023,0.42,7,0.03595888685839347,12,54500.0,770616000000,1761989500.0,1992.857142857143,49518,9.1,20,442,False
4,000490,대동,특수 목적용 기계 제조업,섹터,0.9737556561085974,0.41,6,0.041607524459496815,22,7550.0,194004801450,7947143176.0,605.7142857142857,6040,20.0,66,442,False
5,105740,디케이락,일반 목적용 기계 제조업,섹터,0.9708710407239818,0.51,15,0.03184207989561616,8,7190.0,73213293600,503758430.0,320.0,6390,11.1,125,442,False
6,019180,티에이치엔,기타 전기장비 제조업,섹터,0.9675339366515836,0.5,14,0.039075877316533475,15,5340.0,109260000000,822575409.5,297.14285714285717,4597,13.9,134,442,False
7,091700,파트론,전자부품 제조업,섹터,0.9637443438914027,0.56,22,0.02692241922728986,4,5480.0,282000000000,845796818.0,162.14285714285714,5075,7.4,246,442,False
8,094840,슈프리마에이치큐,통신 및 방송 장비 제조업,섹터,0.9626696832579185,0.49,13,0.04190802875816757,23,12950.0,143267252490,634873366.5,881.4285714285714,10746,17.0,45,442,False
9,068790,DMS,특수 목적용 기계 제조업,섹터,0.9574660633484162,0.27,2,0.04612955150260879,50,7560.0,182818814400,1167684820.0,386.42857142857144,6594,12.8,103,442,False
10,002900,TYM,특수 목적용 기계 제조업,섹터,0.9544117647058823,0.57,24,0.03713205551475369,13,7160.0,264960000000,2208554454.0,383.57142857142856,6201,13.4,104,442,False
11,049430,코메론,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",섹터,0.9498868778280544,0.71,33,0.024457233781891276,2,19910.0,191817600000,732869377.5,985.7142857142857,17446,12.4,40,442,False
12,083930,아바코,특수 목적용 기계 제조업,섹터,0.9383484162895928,0.73,36,0.035595598778872035,11,11210.0,163651326350,537204741.5,400.35714285714283,10209,8.9,99,442,False
13,241560,두산밥캣,특수 목적용 기계 제조업,섹터,0.9317873303167421,0.82,40,0.03494949526009939,10,57900.0,6096445734000,9498452660.0,2421.4285714285716,51846,10.5,16,442,False
14,049070,인탑스,통신 및 방송 장비 제조업,섹터,0.9298076923076923,0.44,8,0.048972381983645306,71,17150.0,295210403510,1440683305.0,889.2857142857143,14927,13.0,44,442,False
15,051370,인터플렉스,전자부품 제조업,섹터,0.9294117647058824,0.55,19,0.04633860961481648,52,5740.0,161426106240,581074996.0,377.14285714285717,4797,16.4,106,442,False
16,297890,HB솔루션,특수 목적용 기계 제조업,섹터,0.9270361990950227,0.55,19,0.04639453804871679,55,1638.0,125436667510,670171171.9,80.07142857142857,1438,12.2,500,442,False
17,108320,LX세미콘,반도체 제조업,섹터,0.9260180995475114,0.59,25,0.04603071164971264,47,36950.0,579009080000,2853704755.0,1889.2857142857142,32227,12.8,21,442,False
18,282880,코윈테크,특수 목적용 기계 제조업,섹터,0.9215497737556562,0.72,34,0.04388639410686841,35,9330.0,111444601460,517138806.0,603.5714285714286,7821,16.2,66,442,False
19,347890,엠엑스온,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",섹터,0.9195135746606334,0.96,51,0.028976402886108032,6,4570.0,74262635460,889743089.25,335.35714285714283,3732,18.3,119,442,False
20,039010,현대에이치티,통신 및 방송 장비 제조업,섹터,0.9157239819004526,0.53,18,0.04906347412177112,73,7160.0,70035000000,677344810.0,605.7142857142857,5728,20.0,69,442,False
21,034220,LG디스플레이,전자부품 제조업,섹터,0.9118778280542987,0.87,47,0.04197205660407136,24,9500.0,4885000000000,35245806608.5,436.42857142857144,8409,11.5,91,442,False
22,056190,에스에프에이,특수 목적용 기계 제조업,섹터,0.9112556561085974,0.72,34,0.04611707446796243,48,23700.0,777424654000,2695248374.5,1327.142857142857,20382,14.0,30,442,False
23,092220,KEC,반도체 제조업,섹터,0.9084276018099546,0.44,8,0.051946447523288405,98,2395.0,105802174780,725431132.75,162.14285714285714,1990,16.9,246,442,False
24,088130,동아엘텍,특수 목적용 기계 제조업,섹터,0.9075226244343891,0.56,22,0.04923828051689229,75,5270.0,97218345840,521437610.0,298.2142857142857,4524,14.2,134,442,False
25,054950,제이브이엠,일반 목적용 기계 제조업,섹터,0.906447963800905,1.04,61,0.02689723705186019,3,23500.0,299829321600,558166030.0,757.1428571428571,21607,8.1,52,442,False
26,054210,이랜텍,전자부품 제조업,섹터,0.9020361990950228,0.68,30,0.04817890035043079,68,6820.0,195753965400,880518438.0,421.42857142857144,5766,15.5,94,442,False
27,126700,하이비젼시스템,사진장비 및 광학기기 제조업,섹터,0.8997737556561085,0.52,17,0.05156347043027654,95,10500.0,158386387200,989215126.5,625.7142857142857,8936,14.9,63,442,False
28,243840,신흥에스이씨,일차전지 및 이차전지 제조업,섹터,0.8987556561085974,0.67,29,0.049102832060024616,74,4845.0,185657901525,889688022.0,333.57142857142856,4011,17.2,119,442,False
29,217820,원익피앤이,특수 목적용 기계 제조업,섹터,0.8876696832579185,0.83,43,0.047097477489432056,62,1840.0,96807300360,530301009.95,107.57142857142857,1571,14.6,371,442,False
30,060720,KH바텍,전자부품 제조업,섹터,0.885576923076923,0.86,45,0.04687662635509613,60,10010.0,250980885200,2491782159.0,593.5714285714286,8526,14.8,67,442,False
31,029460,케이씨,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",섹터,0.8833710407239819,0.46,12,0.05528834770518262,125,34200.0,346044799000,1141654345.0,1757.142857142857,29807,12.8,22,442,False
32,393890,더블유씨피,일차전지 및 이차전지 제조업,섹터,0.882579185520362,0.4,5,0.05745887788958549,139,8600.0,259915345920,1660413338.5,707.1428571428571,6880,20.0,58,442,False
33,236200,슈프리마,통신 및 방송 장비 제조업,섹터,0.8799773755656108,1.13,73,0.039171422270451325,16,56100.0,437289299700,1828436545.0,3392.8571428571427,47618,15.1,11,442,False
34,000850,화천기공,특수 목적용 기계 제조업,섹터,0.8781674208144796,0.23,1,0.05933660461371518,152,35650.0,72820000000,568951457.5,1382.142857142857,32195,9.7,28,442,False
35,086670,비엠티,일반 목적용 기계 제조업,섹터,0.871210407239819,1.06,65,0.04469998552736657,41,15060.0,163082290550,1279978500.5,748.5714285714286,13189,12.4,53,442,False
36,361610,SK아이이테크놀로지,일차전지 및 이차전지 제조업,섹터,0.8710972850678733,0.51,15,0.057048558964678635,134,13950.0,1225170758000,2365712735.5,854.2857142857143,11814,15.3,46,442,False
37,317770,엑스페릭스,전자부품 제조업,섹터,0.8651018099547512,1.07,67,0.045343597632795864,45,2475.0,96923760880,690323509.0,178.92857142857142,2028,18.1,223,442,False
38,078150,HB테크놀러지,특수 목적용 기계 제조업,섹터,0.8634049773755657,0.7,31,0.05434035935920063,114,1882.0,179034433796,1364096090.95,114.14285714285714,1597,15.1,350,442,False
39,265520,AP시스템,특수 목적용 기계 제조업,섹터,0.860576923076923,0.89,48,0.05042322902821402,86,18880.0,295899140860,1274354771.5,948.5714285714286,16509,12.6,42,442,False
40,259630,엠플러스,특수 목적용 기계 제조업,섹터,0.857975113122172,1.21,81,0.0425523116006162,28,8870.0,118923913080,778923480.5,469.2857142857143,7697,13.2,85,442,False
41,036890,진성티이씨,특수 목적용 기계 제조업,섹터,0.8569570135746606,0.96,51,0.05040465180759649,85,11900.0,317049444970,991770994.0,699.2857142857143,10152,14.7,57,442,False
42,190510,나무가,전자부품 제조업,섹터,0.8488687782805431,1.05,64,0.04899880761609577,72,12720.0,189165807310,643684725.5,577.8571428571429,11275,11.4,69,442,False
43,045390,대아티아이,기타 전기장비 제조업,섹터,0.8404977375565611,1.26,87,0.044100095732035945,38,3240.0,181116578890,6044141231.75,225.35714285714286,2677,17.4,177,442,False
44,065450,빅텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",섹터,0.8394230769230769,1.41,105,0.028608329905875782,5,2925.0,87012618850,896251236.5,103.57142857142857,2666,8.9,386,442,False
45,037460,삼지전자,통신 및 방송 장비 제조업,섹터,0.8368778280542987,1.09,70,0.04956647089213998,76,31850.0,587466792000,3232527882.5,2375.0,25912,18.6,16,442,False
46,267270,HD건설기계,특수 목적용 기계 제조업,섹터,0.8300904977375565,1.2,80,0.04782623357152499,66,115500.0,6618013975700,37550418475.0,7750.0,96125,16.8,5,442,False
47,018880,한온시스템,일반 목적용 기계 제조업,섹터,0.8296380090497737,1.04,61,0.05213672636214254,100,3400.0,3720201751000,17142027737.5,178.92857142857142,2953,13.1,223,442,False
48,382840,원준,특수 목적용 기계 제조업,섹터,0.8277714932126696,0.81,38,0.05836899343922498,146,4700.0,72081862320,562745535.0,395.7142857142857,3760,20.0,106,442,False
