tier,규칙,code,name,close,vol60,PBR,mcap,손절_트레일15,결합점수,교집합
소,소형·저변동성,049720,고려신용정보,9190,0.009027291601673829,2.13,136994000000.0,7812,,
소,소형·저변동성,115960,115960,14120,0.012389852985758436,0.71,175059760000.0,12002,,
소,소형·저변동성,014530,극동유화,3105,0.015394258172370057,0.51,110013020100.0,2639,,
소,소형·저변동성,007910,007910,10000,0.01779189336561553,0.32,30592000000.0,8500,,
소,소형·저변동성,248170,샘표식품,22400,0.019600302917945962,0.37,105070578000.0,19040,,
소,소형·저변동성,003610,방림,5230,0.019848886321366548,0.89,173719308980.0,4446,,
소,소형·저변동성,003320,003320,4300,0.01999441738782796,,102544065100.0,3655,,
소,소형·저변동성,307160,307160,2035,0.02009233855955858,,9340650000.0,1730,,
소,소형·저변동성,042500,링네트,4180,0.02278731692068137,0.69,93399893360.0,3553,,
소,소형·저변동성,035000,HS애드,6440,0.02299347790753831,0.53,100973622120.0,5474,,
소,소형·저변동성,049430,코메론,19660,0.02424967187109378,0.71,173178720000.0,16711,,
소,소형·저변동성,037230,한국팩키지,1324,0.025497041200668286,0.38,41184051914.0,1125,,
소,소형·저변동성,004090,한국석유,10450,0.0258620080682272,0.68,138492849200.0,8882,,
소,소형·저변동성,003100,선광,19300,0.026665772890202926,0.27,134310000000.0,16405,,
소,소형·저변동성,460850,동국씨엠,5110,0.027086572701714464,0.15,156668957440.0,4344,,
소,소형·저변동성,035610,솔본,4695,0.02728749156288211,0.46,127705805990.0,3991,,
소,소형·저변동성,950190,고스트스튜디오,9960,0.027364272165110583,,132904172390.0,8466,,
소,소형·저변동성,027710,팜스토리,1024,0.027439758956508634,0.39,118324429200.0,870,,
소,소형·저변동성,017180,명문제약,1072,0.028133177001166788,0.43,40574377530.0,911,,
소,소형·저변동성,038110,에코플라스틱,1849,0.028373223429881606,0.23,80115594020.0,1572,,
중,중형·저변동×저PBR,000070,삼양홀딩스,57700,0.021333070665601413,0.21,456475630800.0,49045,0.024818401937046007,True
중,중형·저변동×저PBR,004690,삼천리,118300,0.021907043873515233,0.23,427959686000.0,100555,0.03147699757869249,True
중,중형·저변동×저PBR,145990,삼양사,44250,0.02105984264353149,0.27,457917135600.0,37612,0.036319612590799036,True
중,중형·저변동×저PBR,002240,고려제강,16790,0.0253867271750817,0.27,455220000000.0,14272,0.05084745762711865,True
중,중형·저변동×저PBR,017940,E1,87900,0.027163067769326286,0.23,616714000000.0,74715,0.05447941888619855,True
중,중형·저변동×저PBR,383800,LX홀딩스,7710,0.02637784805604859,0.29,600329030300.0,6554,0.06598062953995157,True
중,중형·저변동×저PBR,044450,KSS해운,9990,0.021152664739356623,0.38,226010765200.0,8492,0.06840193704600483,True
중,중형·저변동×저PBR,002310,아세아제지,7300,0.02396606536522871,0.35,298238295600.0,6205,0.06961259079903148,True
중,중형·저변동×저PBR,005010,휴스틸,3500,0.031674528358627586,0.21,207614937125.0,2975,0.07687651331719128,True
중,중형·저변동×저PBR,003650,미창석유,138400,0.020249578805393555,0.41,245641686400.0,117640,0.07869249394673124,True
중,중형·저변동×저PBR,095570,AJ네트웍스,4280,0.02219133569168829,0.39,193229280930.0,3638,0.0811138014527845,True
중,중형·저변동×저PBR,010460,010460,28000,0.01665161282024587,0.5,290458027000.0,23800,0.08716707021791767,True
중,중형·저변동×저PBR,306200,세아제강,126400,0.029823385498208788,0.31,384035020000.0,107440,0.09079903147699758,True
중,중형·저변동×저PBR,001390,KG케미칼,4080,0.031807469717126106,0.28,277672413900.0,3468,0.09503631961259079,True
중,중형·저변동×저PBR,035600,KG이니시스,9620,0.02061358013478702,0.5,261491578660.0,8177,0.09685230024213075,True
중,중형·저변동×저PBR,151860,KG에코솔루션,5390,0.0347452383753697,0.15,258008270840.0,4582,0.0986682808716707,True
중,중형·저변동×저PBR,060980,HL홀딩스,37600,0.030649099870779337,0.33,345450128350.0,31960,0.10048426150121065,True
중,중형·저변동×저PBR,117580,대성에너지,6750,0.019453927149706788,0.52,193050000000.0,5738,0.1016949152542373,True
중,중형·저변동×저PBR,005880,대한해운,1860,0.03289174914621026,0.28,582881696040.0,1581,0.1023002421307506,True
중,중형·저변동×저PBR,035810,이지홀딩스,4135,0.0272523606166917,0.39,282258309375.0,3515,0.10290556900726391,True
