date	내용
2023-07-13	HBM 반도체 수요 강세 수혜 기대감 등에 상승(주도주 : 오로스테크놀로지, 오픈엣지테크놀로지, 한미반도체, 제우스)
2023-07-25	AI로 인한 HBM 등 고수익성 시장 개화 기대감 및 하반기 D램 가격 반등 기대감 부각 등에 일부 관련주 상승(주도주 : 피에스케이홀딩스, 제우스)
2023-08-01	HBM 반도체 수요 강세 수혜 기대감 지속 등에 상승(주도주 : 오로스테크놀로지, 오픈엣지테크놀로지, 한미반도체)
2023-08-11	국내 반도체 수출 물량 회복 및 HBM 시장 확대 기대감 지속 등에 일부 관련주 상승(주도주 : 디아이티, 오로스테크놀로지, 피에스케이홀딩스, 한미반도체)
2023-08-30	삼성전자, 차세대 HBM4 2025년 양산 추진 소식 및 필라델피아 반도체지수 강세 등에 상승(주도주 : 디아이티, 에스티아이, 윈팩, 제우스, 한미반도체)
2023-09-01	삼성전자, 엔비디아 'HBM3' 공급 소식 및 반도체 수출 개선 지속 등에 상승(주도주 : 오픈엣지테크놀로지, 피에스케이홀딩스, 제우스, 삼성전자)
2023-11-02	美 긴축 종료 기대감 속 AMD 칩 매출 긍정 전망, 삼성전자·SK하이닉스 HBM 공급량 확대 총력전 소식 등에 상승(주도주 : 디아이티, 제우스, 윈팩, 오픈엣지테크놀로지, 한미반도체)
2023-11-07	엔비디아 'GH200' 英 슈퍼컴퓨터에 탑재 소식 등에 일부 관련주 상승(주도주 : 에스티아이, 한미반도체, 디아이티, 제우스)
2023-11-10	SK하이닉스, 내년 AI용 HBM 반도체 설비 증설 등 10조원 규모 설비투자 소식에 상승(주도주 : 피에스케이홀딩스, 한미반도체, 에스티아이, 오로스테크놀로지)
2023-11-13	한미반도체, 3분기 어닝쇼크 속 하락
2023-11-14	삼성전자/SK하이닉스, 4분기 실적 개선 전망 등에 상승(주도주 : 디아이티, 에스티아이, 오로스테크놀로지, 레이저쎌)
2023-11-15	美 국채금리 급락 및 필라델피아 반도체 지수 급등 등에 상승(주도주 : 피에스케이홀딩스, 케이씨텍, 제우스, 오로스테크놀로지, 레이저쎌)
2023-11-16	MS, 'AI 칩' 최초 공개 속 韓 기업 수혜 전망 등에 일부 관련주 상승(주도주 : 케이씨텍, 에스티아이)
2023-11-21	엔비디아 실적 기대감 및 반도체 업황 개선 기대감 지속 등에 일부 관련주 상승(주도주 : 워트, 제우스, 오픈엣지테크놀로지, 오로스테크놀로지)
2023-11-24	업종 턴어라운드 기대감 속 주가 조정에 따른 매수 기회 분석 등에 상승(주도주 : 케이씨텍, 오로스테크놀로지, 에스티아이, 제우스)
2023-11-28	내년 반도체 가격 상승 추세 지속 및 업황 개선 전망 등에 상승(주도주 : 예스티, 한미반도체, 이오테크닉스, 삼성전자)
2023-11-30	모바일 메모리 가격 상승 본격화 및 온디바이스 AI 시장 개화 기대감 지속 등에 상승(주도주 : 제우스, 피에스케이홀딩스, 한미반도체, 오픈엣지테크놀로지)
2023-12-06	메모리 가격 반등 사이클 진입 속 주가 하락에 따른 매수 기회 유효 분석 등에 상승(주도주 : 피에스케이홀딩스, 오픈엣지테크놀로지, 이오테크닉스)
2023-12-08	AMD 차세대 AI 칩 및 구글 LLM '제미나이' 공개 소식 등에 상승(주도주 : 오픈엣지테크놀로지, 오로스테크놀로지, 제우스, 예스티)
2023-12-11	尹 대통령 ASML 방문 기대감 및 美 필라델피아 반도체 지수 상승, 반도체 업황 기대감 지속 등에 일부 관련주 상승(주도주 : 제너셈, 피에스케이홀딩스, 예스티)
2023-12-12	美 필라델피아 반도체 지수 약 2년만에 최고치, 네덜란드와 반도체 동맹 기대감 지속 등에 상승(주도주 : 오로스테크놀로지, 레이저쎌, 윈팩, 디아이티)
2023-12-13	삼성전자-SK하이닉스, ASML과 반도체 협력 소식 등에 일부 관련주 상승(주도주 : 오로스테크놀로지, 레이저쎌, 오픈엣지테크놀로지, 피에스케이홀딩스)
2023-12-14	필라델피아 반도체지수 상승세 지속 속 온디바이스 AI, CXL 등 차세대 반도체 기술 개발 기대감 등에 상승(주도주 : 피에스케이홀딩스, SK하이닉스, 케이씨텍, 이오테크닉스)
2023-12-18	내년 반도체 업황 개선 기대감 등에 상승(주도주 : 오픈엣지테크놀로지, 오로스테크놀로지, 디아이티, 제우스)
2023-12-19	반도체 업황 회복 기대감 지속 및 네이버-삼성전자 공동개발 AI 반도체 공개 소식 등에 일부 관련주 상승(주도주 : 윈팩, 미래반도체, 오픈엣지테크놀로지, 한미반도체)
2023-12-22	마이크론 실적 호조 속 반도체 업황 턴어라운드 기대감 등에 상승(주도주 : 오픈엣지테크놀로지, 케이씨텍, 윈팩, 엠케이전자)
2023-12-27	美 필라델피아 반도체 지수 강세 및 반도체 업황 개선 기대감 지속 등에 상승(주도주 : 한미반도체, 에스티아이, 케이씨텍, 이오테크닉스, 제우스)
2024-01-02	반도체 업황 반등세 지속 전망 등에 상승(주도주 : 케이씨텍, 제우스, 윈팩, 오픈엣지테크놀로지, 레이저쎌)
2024-01-03	美 필라델피아 반도체 지수 급락 등에 하락
2024-01-04	美 필라델피아 반도체 지수 급락에 하락
2024-01-08	삼성전자 잠정 실적 발표 앞두고 CES 2024 기대감 부각 등에 일부 관련주 상승(주도주 : 제우스, 에스티아이)
