date	내용
2007-02-12	메모리가격 하락과 엔화약세 움직임에 비교적 큰 폭 하락(주도주 : 삼성전자, 하이닉스)
2007-06-01	D램가격 급등으로 삼성전자, 하이닉스 동반 상승
2007-06-21	D램가격 급등 소식으로 동반 강세(주도주 : 하이닉스, 삼성전자)
2007-07-06	반도체 생산/재료/장비주 동반 급등(주도주 : 삼성전자)
2007-11-07	낸드플래시가격 안정 기대감과 업황호조 기대감(주도주 : 삼성전자, 하이닉스)
2008-01-30	해외 경쟁 반도체 제조업체의 실적악화와 투자감소로 수혜 기대감(주도주 : 하이닉스, 삼성전자)
2008-12-19	D램가격 급등소식에 삼성전자, 하이닉스 등 반도체대표주 동반 상승
2009-01-28	독일 D램생산업체 키몬다의 파산소식으로 수혜 기대감(주도주 : 하이닉스, 삼성전자)
2009-03-26	반도체 업황 개선 기대감으로 동반 상승(주도주 : 하이닉스, 동부하이텍)
2009-03-27	D램 가격 급등에 따른 업황개선 기대감으로 이틀연속 상승(주도주 : 동부하이텍, 하이닉스)
2009-07-27	D램 업황 확장국면에 따른 실적개선 기대감으로 동반 급등(주도주 : 하이닉스, 삼성전자 등...)
2009-10-14	인텔의 깜짝 실적에 힘입어 반도체관련주 동반 상승
2009-12-30	플래시메모리 가격담합 협의에 대한 무혐의 결정 소식에 동반 상승(주도주 : 하이닉스, 삼성전자 등...)
2010-04-01	반도체 업황 호조로 동반 상승(주도주 : 하이닉스, 삼성전자 등...)
2010-11-04	엘피다의 D램 감산 소식에 동반 상승(주도주 : 하이닉스, 삼성전자, 동부하이텍)
2010-12-09	도시바 반도체공장 정전에 따른 반사이익 기대감에 동반 상승(주도주 : 삼성전자, 하이닉스, 동부하이텍 등..)
2011-01-28	D램 가격 반등과 증권사 하이닉스 긍정적 평가, 삼성전자 지난해 사상 최대 실적 발표 소식으로 동반 상승(주도주 : 하이닉스, 동부하이텍, 삼성전자)
2011-05-13	D램 가격 상승에 동반 상승(주도주 : 삼성전자, 하이닉스)
2011-08-18	낸드 플래시 가격 최저가 경신 소식에 동반 급락
2011-09-05	D램 가격 하락 전망에 동반 하락
2011-09-07	D램 가격 안정 기대감에 급등(주도주 : 하이닉스, 삼성전자 등..)
2012-01-19	필라델피아 반도체 지수 급등 및 업황 회복 기대감에 동반 상승(주도주 : 삼성전자, 하이닉스, 동부하이텍)
2012-02-28	엘피다 파산보호 신청 소식에 동반 상승(주도주 : 하이닉스, 삼성전자 등..)
2012-05-16	애플이 엘피다에 대규모 모바일 D램을 주문했다는 언론보도에 하락(주도주:SK하이닉스, 삼성전자)
2012-08-06	일본 메모리업체들의 수익성 저조로 인한 감산 발표소식에 소폭 상승(주도주 : 삼성전자, 동부하이텍, SK하이닉스)
2012-09-07	반도체 업황 개선 기대감 및 낸드플래시 공급 부족설로 동반 상승(주도주 : SK하이닉스, 삼성전자)
2013-11-01	대만 지진 반사이익 기대감에 상승(주도주 : 삼성전자, SK하이닉스)
2016-07-07	신규 유망수출품목 창출 방안 발표에 상승
2016-10-27	삼성전자 시설투자 계획에 반도체 및 디스플레이 관련주 상승
2017-01-06	삼성전자4분기 잠정 실적 어닝서프라이즈에 동반 상승
2017-03-06	반도체 및 Display 업황 호조 지속 전망에 상승
2017-06-09	사물인터넷 확산에 따른 IoT 반도체 시장 성장 전망에 상승
2017-07-05	삼성전자 반도체/디스플레이 추가 투자 소식에 관련주 상승
2017-08-08	반도체 호황 지속 전망에 상승
2017-08-17	반도체 업황 호조 속 동반 상승
2017-10-10	3분기 실적 기대감에 상승(주도주 : SK하이닉스, 삼성전자)
2017-11-27	모간스탠리의 삼성전자 중립 의견 및 외국계 매도에 하락
2017-11-30	美 기술주 약세에 하락
2017-12-21	삼성전자 4분기 실적 기대치 하회 전망에 동반 하락
2018-01-10	삼성전자 실적 실망감 및 SK하이닉스 실적 우려 등으로 하락
2018-01-16	타이트한 수급 지속 전망 속 저가매수세 유입에 상승(주도주 : 삼성전자, SK하이닉스)
2018-01-22	원화 강세에 따른 실적 불확실성 등으로 하락
2018-01-25	sk하이닉스 사상 최대 실적 달성 속에 상승
2018-02-02	국내외 증권사들의 삼성전자 실적 전망치 및 목표주가 하향 소식 속에 하락
2018-02-19	애플의 중국산 반도체 구매 협의 소식 및 미국發 통상압력 우려 속 하락
2018-03-06	업황 회복 기대감에 상승(주도주 : 삼성전자, SK하이닉스)
2018-03-13	반도체 호황 지속 기대감에 상승(주도주 : 삼성전자, SK하이닉스)
2018-03-27	중국의 미국産 반도체 구매 확대 우려에 하락
2018-03-28	美 기술주 급락 여파 속 하락
2018-04-05	삼성전자/SK하이닉스 中 생산 반도체, 美 고율관세품목 제외 소식에 상승(주도주 : 삼성전자, SK하이닉스)
2018-04-12	반도체 업황 호조 속 상승
2018-04-18	반도체 수출 호조세 지속 등으로 상승(주도주 : 삼성전자, SK하이닉스)
2018-04-19	실적 개선 및 실적 안정성 부각에 상승
2018-04-20	대만 TSMC 실적 전망치 하향 여파 등으로 하락
2018-04-24	SK하이닉스 1분기 실적 예상치 하회 속 하락
2018-04-26	삼성전자 호실적 발표 등에 강세(주도주 : 삼성전자, SK하이닉스)
2018-04-30	美 집단소송 피소 우려에 하락
2018-05-23	美 훈풍 및 반도체 호황 지속 전망 등에 상승(주도주 : 삼성전자, SK하이닉스)
2018-06-04	中 D램 가격 담합 조사 착수 소식 등으로 하락
2018-06-27	올해 반도체 수출 첫 1,000억달러 돌파 전망 등으로 상승(주도주 : 삼성전자, SK하이닉스)
2018-06-28	美 반도체株 약세 및 삼성전자 실적 부진 우려 등으로 하락
2018-07-18	Fed 파월 의장 경기 낙관 발언 속 美 기술주 강세 등으로 상승
2018-07-23	삼성전자 전략 변화에 따른 업황 둔화 전망에 약세
2018-08-06	모건스탠리 매도 보고서에 SK하이닉스 약세 속 일부 관련주 하락
2018-08-10	모건스탠리, 반도체 섹터 투자의견 하향 소식에 하락
2018-08-21	반도체 수출 호조 지속 등으로 상승(주도주 : 삼성전자, SK하이닉스)
2018-08-22	반도체 시장 성장 지속 등으로 상승(주도주 : 삼성전자, SK하이닉스)
