정책,n,mean,med,win,p25,p75
P2_T12_H63,2163,1.9219657604247085,-4.45714285714285,37.17059639389736,-6.10901756671168,5.39284319916806
P2_T15_H63,2163,1.9214365907310844,-5.0,32.593619972260754,-6.3970588235294095,5.155717531238165
P2_T12_H126,2163,1.9017946913279622,-4.50513950073422,37.12436430883032,-6.1102811918874895,5.389034897273575
P2_T15_H126,2163,1.8704310284958312,-5.0,32.038834951456316,-6.426149778575166,4.7205805095875855
P2_T12_H40,2163,1.8369167786507237,-4.4194756554307,37.401756819232546,-6.106923509327116,5.557802928432685
P2_T15_H40,2163,1.7970265194637105,-5.0,33.14840499306519,-6.343084805786835,5.310992754961714
P2_T10_H126,2163,1.7340224898060828,-3.1313131313131395,40.03698566805363,-5.776198008942895,5.5647342995169
P2_T20_H63,2163,1.7280273148693854,-5.45130641330166,27.092001849283402,-7.0602918302347915,2.21327904791731
P2_T10_H63,2163,1.7213435354396591,-3.1313131313131395,40.083217753120664,-5.776198008942895,5.583986224709419
P2_T20_H126,2163,1.7180372278069986,-5.48969072164948,25.79750346740638,-7.11111111111111,0.8081257413997549
P2_T10_H40,2163,1.6600078564682712,-3.1461538461538403,40.03698566805363,-5.776198008942895,5.546507419471585
P2_T20_H40,2163,1.5371360868662864,-5.35680751173709,28.941285251964864,-6.9728276986951405,3.2373421456390856
P2_T25_H126,2163,1.4891295805309317,-5.7734412470024,20.943134535367545,-7.343787880759605,-3.7993587355648897
P1_T20_H63_be,2163,1.4645654454072714,-4.26373626373626,46.833102172908,-6.173101300705465,5.1100096711798795
P1_T15_H63_tr,2163,1.4625816137969,-4.26373626373626,45.39990753582986,-6.173101300705465,7.123481544017625
P1_T12_H63_tr,2163,1.461931556717558,-4.26373626373626,46.78687008784096,-6.173101300705465,7.291666314284985
P1_T12_H63_be,2163,1.454668315374091,-4.26373626373626,46.833102172908,-6.173101300705465,6.910788666451396
P1_T12_H40_tr,2163,1.4493780195410075,-4.03490568913614,46.78687008784096,-6.149389017960854,7.350480769230769
P1_T15_H63_be,2163,1.4429305336758453,-4.26373626373626,46.833102172908,-6.173101300705465,6.067709449325035
P1_T12_H40_be,2163,1.4344931129542897,-4.03490568913614,46.833102172908,-6.149389017960854,6.947016928672856
P1_T12_H126_tr,2163,1.4262321846882582,-4.34507042253522,46.50947757743874,-6.17549203706994,7.22818979609395
P1_T25_H126_be,2163,1.4241971761001953,-4.34507042253522,46.55570966250578,-6.17549203706994,4.647932647456375
P1_T15_H40_tr,2163,1.4235986855736298,-4.03490568913614,45.4461396208969,-6.149389017960854,7.223038538809705
P1_T20_H126_be,2163,1.422248827935472,-4.34507042253522,46.55570966250578,-6.17549203706994,5.003429355281205
P1_T12_H126_be,2163,1.421349854616501,-4.34507042253522,46.55570966250578,-6.17549203706994,6.876093117097135
P1_T10_H63_be,2163,1.4149557207699608,-4.26373626373626,46.833102172908,-6.173101300705465,7.547364512452065
P1_T10_H40_be,2163,1.4139385162646478,-4.03490568913614,46.833102172908,-6.149389017960854,7.512805307757095
P1_T15_H126_tr,2163,1.4118456200587117,-4.34507042253522,45.07628294036061,-6.17549203706994,6.867973980042945
P1_T10_H63_tr,2163,1.4089469110462978,-4.26373626373626,46.833102172908,-6.173101300705465,7.635770975056685
P1_T10_H40_tr,2163,1.407738594600559,-4.03490568913614,46.833102172908,-6.149389017960854,7.576070256302815
P1_T15_H40_be,2163,1.4024951074558156,-4.03490568913614,46.833102172908,-6.149389017960854,6.1840163934426196
P1_T10_H126_be,2163,1.3949708303107846,-4.34507042253522,46.55570966250578,-6.17549203706994,7.530551859373895
P1_T10_H126_tr,2163,1.3888140082620486,-4.34507042253522,46.55570966250578,-6.17549203706994,7.624545708694436
P1_T15_H126_be,2163,1.3881328417795828,-4.34507042253522,46.55570966250578,-6.17549203706994,5.92090241913563
P2_T25_H40,2163,1.3870703131661324,-5.53977272727272,26.583448913545997,-7.127060981098099,2.252960844344185
P1_T20_H40_be,2163,1.3828841307524704,-4.03490568913614,46.833102172908,-6.149389017960854,5.201521032867805
P2_T25_H63,2163,1.3806535745782205,-5.66918238993711,23.532131299121588,-7.260160076292865,-1.7695864686437552
P1_T25_H63_be,2163,1.3608480710499802,-4.26373626373626,46.833102172908,-6.173101300705465,4.7487678807549
P1_T20_H126_tr,2163,1.3479839789273804,-4.372623574144479,38.83495145631068,-6.17549203706994,5.11787280701754
P1_T20_H63_tr,2163,1.3454233517586893,-4.28571428571428,39.482200647249186,-6.173101300705465,5.72196620583717
P1_T25_H40_be,2163,1.327711308103068,-4.03490568913614,46.833102172908,-6.149389017960854,4.903388278388275
P1_T20_H40_tr,2163,1.2733419503580532,-4.10256410256409,40.17568192325474,-6.149389017960854,6.295306785114815
P1_T25_H126_tr,2163,1.2509358003183872,-4.9895178197064896,33.795654184003695,-6.179533267433291,3.9049803963332854
P1_T25_H40_tr,2163,1.1723495346659845,-4.71337579617834,37.67914932963477,-6.151423503251375,6.1452408832385395
P1_T25_H63_tr,2163,1.1464775926281998,-4.88492779783393,36.061026352288486,-6.17549203706994,5.0646134510343455
P0_H40,2163,1.086002368915325,-4.03490568913614,46.833102172908,-6.149389017960854,8.181003219102715
P0_카드,2163,1.086002368915325,-4.03490568913614,46.833102172908,-6.149389017960854,8.181003219102715
P0_H63,2163,1.0458626745238706,-4.26373626373626,46.833102172908,-6.173101300705465,8.184708772944054
P0_H126,2163,1.0278431544084417,-4.34507042253522,46.55570966250578,-6.17549203706994,8.188627268241866
