출발일,code,name,유형,등급,국면,진입월,고점3M,고점6M,고점일수,고점일,고점월,창완결,ex_ret,ex_how,ex_bars,fwd40
1997-01-30,003620,KG모빌리티,A,B,실행,1,26.3,26.3,9,1997-02-13,2,True,-0.057734412470024,손절,1,-0.1151079136690647
1997-03-20,004010,004010,A,B,실행,3,-7.6,-7.6,1,1997-03-21,3,True,-0.0589411764705881,손절,1,-0.5594117647058823
1997-03-21,004010,004010,A,B,실행,3,-6.4,-6.4,5,1997-03-28,3,True,-0.05,손절,1,-0.5605095541401274
1997-03-24,012750,에스원,A,B,실행,3,24.6,24.6,5,1997-03-31,3,True,0.0696517412935322,목표,2,0.0298507462686568
1997-06-19,000720,현대건설,A,B,주의,6,5.2,5.2,9,1997-07-02,7,True,-0.0703862660944205,손절,4,-0.1030042918454935
1997-09-01,003600,003600,A,B,실행,9,5.2,5.2,9,1997-09-12,9,True,-0.05,손절,1,-0.3229166666666666
1997-09-23,011650,011650,A,B,실행,9,9.9,9.9,8,1997-10-06,10,True,0.0748502994011977,목표,1,-0.3353293413173652
1997-10-07,011200,HMM,A,A,실행,10,4.3,4.3,4,1997-10-13,10,True,-0.0510251798561152,손절,7,-0.3769784172661871
1997-10-08,005935,삼성전자우,A,B,실행,10,7.9,7.9,1,1997-10-09,10,True,-0.0500000000000001,손절,1,-0.4862068965517241
1997-10-16,010140,삼성중공업,A,C,실행,10,12.7,29.3,86,1998-02-27,2,True,-0.05,손절,1,-0.4483985765124555
1997-10-17,002610,002610,A,A,실행,10,35.2,99.3,87,1998-03-03,3,True,-0.0807931034482759,손절,1,-0.2068965517241379
1997-10-20,009540,HD한국조선해양,A,C,실행,10,46.6,142.6,87,1998-03-04,3,True,-0.05,손절,1,-0.1606425702811245
1997-10-20,002610,002610,A,C,실행,10,49.6,120.6,86,1998-03-03,3,True,0.0801526717557252,목표,3,0.0152671755725191
1997-10-27,006800,미래에셋증권,A,C,실행,10,29.5,29.5,7,1997-11-05,11,True,-0.0584821428571428,손절,1,-0.3053571428571429
1997-12-09,005490,POSCO홀딩스,A,C,실행,12,83.6,83.6,50,1998-03-03,3,True,0.1069114470842331,목표,2,0.3736501079913608
1997-12-12,017670,SK텔레콤,A,B,실행,12,43.6,43.6,25,1998-01-30,1,True,0.0903686087990487,목표,3,0.258026159334126
1998-01-21,027460,027460,A,C,실행,1,4.7,4.7,6,1998-02-03,2,True,-0.05,손절,1,-0.300130246877035
1998-01-22,006800,미래에셋증권,A,C,실행,1,21.8,21.8,5,1998-02-03,2,True,-0.0586363636363637,손절,1,-0.2967015285599356
1998-01-22,029890,029890,A,C,실행,1,23.2,23.2,5,1998-02-03,2,True,-0.05,손절,1,-0.2988929889298893
1998-01-22,005380,현대차,A,C,실행,1,37.8,37.8,4,1998-02-02,2,True,0.0885826771653541,목표,2,-0.094488188976378
1998-01-22,006400,삼성SDI,A,C,실행,1,80.5,80.5,19,1998-02-23,2,True,0.0894160583941605,목표,2,0.3503649635036496
