출발일,code,name,유형,등급,출발가,핵심선,선가,손절가,목표가,시총,상태,종료일,종료수익,최고수익,갱신일,국면,시장낙폭
2026-07-30,000150,두산,A,C,901000,주60주,985567,838831,973500,19384020495000,목표달성,2026-07-31,8.0,29.9,2026-08-20,실행,-37.8
2026-07-30,000660,SK하이닉스,B,C,1327000,월10,1211300,1287190,1592400,1294267494840000,목표달성,2026-07-31,20.0,29.5,2026-08-20,실행,-37.8
2026-07-30,001820,삼화콘덴서,A,C,58300,일240,54937,52470,63200,857587500000,목표달성,2026-07-31,8.4,26.8,2026-08-20,실행,-37.8
2026-07-30,005930,삼성전자,B,C,208000,월10,195160,201760,249600,1484954766432000,목표달성,2026-07-31,20.0,28.4,2026-08-20,실행,-37.8
2026-07-30,006360,GS건설,A,C,22400,주60주,23501,20854,23950,2490421359000,목표달성,2026-07-31,6.9,8.3,2026-08-20,실행,-37.8
2026-07-30,009150,삼성전기,B,C,873000,월10,790200,846810,1047600,98969147200000,목표달성,2026-07-31,20.0,30.8,2026-08-20,실행,-37.8
2026-07-30,009420,한올바이오파마,A,C,38950,주60주,43605,36262,42075,2481430305000,목표달성,2026-07-31,8.0,12.2,2026-08-20,실행,-37.8
2026-07-30,010120,LS ELECTRIC,A,C,148500,월10,159120,138254,162000,30000000000000,목표달성,2026-07-31,9.1,25.8,2026-08-20,실행,-37.8
2026-07-30,010170,대한광통신,A,B,7150,일240,7356,6657,7800,1514430328400,목표달성,2026-07-31,9.1,20.8,2026-08-20,실행,-37.8
2026-07-30,011070,LG이노텍,A,B,420000,일240,411762,391174,467000,14531603698000,목표달성,2026-07-31,11.2,24.8,2026-08-20,실행,-37.8
2026-07-30,017900,광전자,A,A,4380,월10,4385,4078,4750,328541136210,목표달성,2026-07-31,8.4,19.9,2026-08-20,실행,-37.8
2026-07-30,028050,삼성E&A,B,C,41000,월10,37305,39770,49200,9339400000000,목표달성,2026-08-14,20.0,25.4,2026-08-20,실행,-37.8
2026-07-30,031980,피에스케이홀딩스,A,C,76100,주60주,73634,69952,85150,2404207042500,목표달성,2026-07-31,11.9,31.1,2026-08-20,실행,-37.8
2026-07-30,032830,삼성생명,B,C,259500,월10,239210,251715,311400,62300000000000,목표달성,2026-07-31,20.0,21.6,2026-08-20,실행,-37.8
2026-07-30,034730,SK,B,C,462000,월10,420300,448140,554400,45169183969000,목표달성,2026-07-31,20.0,24.2,2026-08-20,실행,-37.8
2026-07-30,047040,대우건설,A,B,11180,일240,11459,10409,12305,6237577944840,목표달성,2026-07-31,10.1,17.1,2026-08-20,실행,-37.8
2026-07-30,053610,프로텍,A,A,48200,주60주,47085,44731,52700,583200000000,목표달성,2026-07-31,9.3,22.0,2026-08-20,실행,-37.8
2026-07-30,064290,인텍플러스,A,B,21850,일240,21328,20262,24475,401780433600,목표달성,2026-07-31,12.0,29.3,2026-08-20,실행,-37.8
2026-07-30,066570,LG전자,B,C,147300,월10,139970,142881,176760,28065023127400,목표달성,2026-08-14,20.0,52.7,2026-08-20,실행,-37.8
2026-07-30,069960,현대백화점,A,C,111200,월10,106710,101375,119300,2956549435200,목표달성,2026-07-31,7.3,10.6,2026-08-20,실행,-37.8
2026-07-30,082920,비츠로셀,A,C,24700,주60주,25595,22996,27150,1387387996200,목표달성,2026-07-31,9.9,13.4,2026-08-20,실행,-37.8
2026-07-30,084370,유진테크,A,C,87900,주60주,96767,81835,94000,2573471516600,목표달성,2026-07-31,6.9,30.6,2026-08-20,실행,-37.8
2026-07-30,127120,제이에스링크,A,A,28150,일240,28170,26208,30175,1157266841400,목표달성,2026-08-14,7.2,54.5,2026-08-20,실행,-37.8
2026-07-30,138930,BNK금융지주,A,C,14750,주60주,16259,13732,16010,5623125837960,관찰중,,,4.3,2026-08-20,실행,-37.8
2026-07-30,170920,엘티씨,A,B,26250,주60주,25706,24420,29725,425734277800,목표달성,2026-07-31,13.2,31.6,2026-08-20,실행,-37.8
2026-07-30,222800,심텍,A,B,62400,주60주,60638,57606,68950,3457920831300,목표달성,2026-07-31,10.5,32.9,2026-08-20,실행,-37.8
2026-07-30,240810,원익IPS,A,C,75400,주60주,83525,70197,82450,5202893506000,목표달성,2026-07-31,9.4,30.9,2026-08-20,실행,-37.8
2026-07-30,252990,샘씨엔에스,A,B,9070,일240,9249,8444,10140,768380263640,목표달성,2026-07-31,11.8,25.7,2026-08-20,실행,-37.8
2026-07-30,290550,디케이티,A,A,14020,일240,13941,13244,16150,420025830000,목표달성,2026-07-31,15.2,24.8,2026-08-20,실행,-37.8
2026-07-30,332570,PS일렉트로닉스,A,A,6460,일240,6391,6072,7000,338658831750,목표달성,2026-07-31,8.4,15.3,2026-08-20,실행,-37.8
2026-07-30,353200,대덕전자,A,B,73500,일240,72280,68666,82400,5406211595000,목표달성,2026-07-31,12.1,31.7,2026-08-20,실행,-37.8
2026-07-30,402340,SK스퀘어,B,C,783000,월10,716150,759510,939600,144626391056000,목표달성,2026-07-31,20.0,32.6,2026-08-20,실행,-37.8
2026-07-30,440110,파두,A,B,48400,일240,47177,44819,52350,3251582612300,목표달성,2026-07-31,8.2,31.0,2026-08-20,실행,-37.8
2026-08-20,006260,LS,B,C,313500,월10,299330,304095,376200,9890400000000,관찰중,,,,2026-08-20,실행,-24.8
2026-08-20,011070,LG이노텍,B,C,587000,월10,547850,569390,704400,13064243064000,관찰중,,,,2026-08-20,실행,-24.8
