출발일,code,유형,시장,창완결_40,창완결_126,cum2,gap240,atr_pct,목표거리,P0,P0_봉,P0_사유,P1,P1_봉,보유40,R_s95_t8_h,R_s95_t8_h_봉,R_s95_t8_t,R_s95_t8_t_봉,R_s95_t8_u,R_s95_t8_u_봉,R_s95_t8_n,R_s95_t8_n_봉,R_s95_t12_h,R_s95_t12_h_봉,R_s95_t12_t,R_s95_t12_t_봉,R_s95_t12_u,R_s95_t12_u_봉,R_s95_t12_n,R_s95_t12_n_봉,R_s95_t20_h,R_s95_t20_h_봉,R_s95_t20_t,R_s95_t20_t_봉,R_s95_t20_u,R_s95_t20_u_봉,R_s95_t20_n,R_s95_t20_n_봉,R_s97_t8_h,R_s97_t8_h_봉,R_s97_t8_t,R_s97_t8_t_봉,R_s97_t8_u,R_s97_t8_u_봉,R_s97_t8_n,R_s97_t8_n_봉,R_s97_t12_h,R_s97_t12_h_봉,R_s97_t12_t,R_s97_t12_t_봉,R_s97_t12_u,R_s97_t12_u_봉,R_s97_t12_n,R_s97_t12_n_봉,R_s97_t20_h,R_s97_t20_h_봉,R_s97_t20_t,R_s97_t20_t_봉,R_s97_t20_u,R_s97_t20_u_봉,R_s97_t20_n,R_s97_t20_n_봉,R_s92_t8_h,R_s92_t8_h_봉,R_s92_t8_t,R_s92_t8_t_봉,R_s92_t8_u,R_s92_t8_u_봉,R_s92_t8_n,R_s92_t8_n_봉,R_s92_t12_h,R_s92_t12_h_봉,R_s92_t12_t,R_s92_t12_t_봉,R_s92_t12_u,R_s92_t12_u_봉,R_s92_t12_n,R_s92_t12_n_봉,R_s92_t20_h,R_s92_t20_h_봉,R_s92_t20_t,R_s92_t20_t_봉,R_s92_t20_u,R_s92_t20_u_봉,R_s92_t20_n,R_s92_t20_n_봉,Q_t8_be,Q_t8_tr,Q_t12_be,Q_t12_tr,Q_t20_be,Q_t20_tr,연
2002-07-31,009840,A,KOSPI,True,True,-0.21089385474860334,-0.09513132607303021,0.25707964601769906,0.13362831858407076,-0.015646017699115,3,트레일,-0.015646017699115,3,-0.4601769911504424,0.029097345132743424,3,0.08908554572271377,2,0.029097345132743424,3,0.029097345132743424,3,-0.015646017699115,3,0.08908554572271377,2,-0.015646017699115,3,-0.015646017699115,3,-0.06664601769911505,4,0.08908554572271377,2,-0.06664601769911505,4,-0.06664601769911505,4,-0.046996460176991106,1,-0.046996460176991106,1,-0.046996460176991106,1,-0.046996460176991106,1,-0.046996460176991106,1,-0.046996460176991106,1,-0.046996460176991106,1,-0.046996460176991106,1,-0.046996460176991106,1,-0.046996460176991106,1,-0.046996460176991106,1,-0.046996460176991106,1,0.029097345132743424,3,0.08908554572271377,2,0.029097345132743424,3,0.029097345132743424,3,-0.015646017699115,3,0.08908554572271377,2,-0.015646017699115,3,-0.015646017699115,3,-0.09612035398230079,4,0.08908554572271377,2,-0.09612035398230079,4,-0.09612035398230079,4,-0.015646017699115,-0.015646017699115,-0.015646017699115,-0.015646017699115,-0.015646017699115,-0.015646017699115,2002
2002-07-30,009840,S2a,KOSPI,True,True,-0.2767220902612827,-0.022282277862881505,0.2371921182266009,0.19129720853858792,-0.050000000000000155,1,손절,-0.050000000000000155,1,-0.45320197044334976,-0.050000000000000155,1,-0.050000000000000155,1,-0.050000000000000155,1,-0.050000000000000155,1,-0.050000000000000155,1,-0.050000000000000155,1,-0.050000000000000155,1,-0.050000000000000155,1,-0.050000000000000155,1,-0.050000000000000155,1,-0.050000000000000155,1,-0.050000000000000155,1,-0.030000000000000027,1,-0.030000000000000027,1,-0.030000000000000027,1,-0.030000000000000027,1,-0.030000000000000027,1,-0.030000000000000027,1,-0.030000000000000027,1,-0.030000000000000027,1,-0.030000000000000027,1,-0.030000000000000027,1,-0.030000000000000027,1,-0.030000000000000027,1,-0.08000000000000007,1,-0.08000000000000007,1,-0.08000000000000007,1,-0.08000000000000007,1,-0.08000000000000007,1,-0.08000000000000007,1,-0.08000000000000007,1,-0.08000000000000007,1,-0.08000000000000007,1,-0.08000000000000007,1,-0.08000000000000007,1,-0.08000000000000007,1,-0.050000000000000155,-0.050000000000000155,-0.050000000000000155,-0.050000000000000155,-0.050000000000000155,-0.050000000000000155,2002
2020-02-03,003060,A,KOSPI,True,True,-0.1344827586206897,-0.16958680602463116,0.09362549800796811,0.07768924302788849,0.07768924302788838,2,목표,0.23127490039840637,5,0.2709163346613548,0.07768924302788838,2,0.05179282868525914,1,0.10358565737051784,3,0.44780876494023913,5,0.07768924302788838,2,0.05179282868525914,1,0.10358565737051784,3,0.38486055776892436,5,0.07768924302788838,2,0.05179282868525914,1,0.10358565737051784,3,0.2589641434262948,5,0.07768924302788838,2,0.05179282868525914,1,0.10358565737051784,3,0.44780876494023913,5,0.07768924302788838,2,0.05179282868525914,1,0.10358565737051784,3,0.38486055776892436,5,0.07768924302788838,2,0.05179282868525914,1,0.10358565737051784,3,0.2589641434262948,5,0.07768924302788838,2,0.05179282868525914,1,0.10358565737051784,3,0.44780876494023913,5,0.07768924302788838,2,0.05179282868525914,1,0.10358565737051784,3,0.38486055776892436,5,0.07768924302788838,2,0.05179282868525914,1,0.10358565737051784,3,0.2589641434262948,5,0.26274900398406376,0.26274900398406376,0.23127490039840637,0.23127490039840637,0.1683266932270916,0.1683266932270916,2020
2020-01-31,003060,A,KOSPI,True,True,-0.14657980456026054,-0.13620678286480414,0.08835877862595418,0.08587786259541982,-0.05877480916030542,1,손절,-0.05877480916030542,1,0.16412213740458026,-0.05877480916030542,1,-0.05877480916030542,1,-0.05877480916030542,1,-0.05877480916030542,1,-0.05877480916030542,1,-0.05877480916030542,1,-0.05877480916030542,1,-0.05877480916030542,1,-0.05877480916030542,1,-0.05877480916030542,1,-0.05877480916030542,1,-0.05877480916030542,1,-0.03895954198473284,1,-0.03895954198473284,1,-0.03895954198473284,1,-0.03895954198473284,1,-0.03895954198473284,1,-0.03895954198473284,1,-0.03895954198473284,1,-0.03895954198473284,1,-0.03895954198473284,1,-0.03895954198473284,1,-0.03895954198473284,1,-0.03895954198473284,1,0.08587786259541974,4,0.057251908396946494,4,0.11450381679389321,4,0.38702290076335877,6,0.08587786259541974,4,0.057251908396946494,4,0.11450381679389321,4,0.3267175572519083,6,0.08587786259541974,4,0.057251908396946494,4,0.11450381679389321,4,0.20610687022900764,6,-0.05877480916030542,-0.05877480916030542,-0.05877480916030542,-0.05877480916030542,-0.05877480916030542,-0.05877480916030542,2020
2020-03-13,003060,A,KOSPI,True,True,-0.1447811447811448,-0.08496221866641052,0.09822834645669296,0.08464566929133861,-0.05417322834645666,2,트레일,-0.05417322834645666,2,0.6614173228346456,-0.011181102362204709,2,0.05643044619422577,1,-0.011181102362204709,2,-0.011181102362204709,2,-0.05417322834645666,2,0.05643044619422577,1,-0.05417322834645666,2,-0.05417322834645666,2,0.08464566929133865,3,0.05643044619422577,1,0.11286089238845132,3,-0.08346456692913384,4,-0.011181102362204709,2,0.05643044619422577,1,-0.011181102362204709,2,-0.011181102362204709,2,-0.05417322834645666,2,0.05643044619422577,1,-0.05417322834645666,2,-0.05417322834645666,2,0.08464566929133865,3,0.05643044619422577,1,0.11286089238845132,3,-0.08346456692913384,4,-0.011181102362204709,2,0.05643044619422577,1,-0.011181102362204709,2,-0.011181102362204709,2,-0.05417322834645666,2,0.05643044619422577,1,-0.05417322834645666,2,-0.05417322834645666,2,0.08464566929133865,3,0.05643044619422577,1,0.11286089238845132,3,-0.08346456692913384,4,-0.05417322834645666,-0.05417322834645666,-0.05417322834645666,-0.05417322834645666,-0.05417322834645666,-0.05417322834645666,2020
2020-04-21,003060,A,KOSPI,True,True,-0.19877675840978593,0.01948500442619916,0.1326335877862595,0.1240458015267176,0.12404580152671763,3,목표,0.3345419847328245,5,0.47709923664122145,0.12404580152671763,3,0.08269720101781175,3,0.1653944020356235,3,0.615267175572519,5,0.12404580152671763,3,0.08269720101781175,3,0.1653944020356235,3,0.5450381679389313,5,0.12404580152671763,3,0.08269720101781175,3,0.1653944020356235,3,0.7404580152671756,6,0.12404580152671763,3,0.08269720101781175,3,0.1653944020356235,3,0.615267175572519,5,0.12404580152671763,3,0.08269720101781175,3,0.1653944020356235,3,0.5450381679389313,5,0.12404580152671763,3,0.08269720101781175,3,0.1653944020356235,3,0.7404580152671756,6,0.12404580152671763,3,0.08269720101781175,3,0.1653944020356235,3,0.615267175572519,5,0.12404580152671763,3,0.08269720101781175,3,0.1653944020356235,3,0.5450381679389313,5,0.12404580152671763,3,0.08269720101781175,3,0.1653944020356235,3,0.7404580152671756,6,0.3696564885496183,0.3696564885496183,0.3345419847328245,0.3345419847328245,0.4322519083969466,0.4322519083969466,2020
2020-01-30,003060,A,KOSPI,True,True,-0.129129129129129,-0.04716531681753211,0.07655172413793103,0.0741379310344827,-0.09166896551724124,1,손절,-0.09166896551724124,1,-0.08965517241379306,-0.09166896551724124,1,-0.09166896551724124,1,-0.09166896551724124,1,-0.09166896551724124,1,-0.09166896551724124,1,-0.09166896551724124,1,-0.09166896551724124,1,-0.09166896551724124,1,-0.09166896551724124,1,-0.09166896551724124,1,-0.09166896551724124,1,-0.09166896551724124,1,-0.07254620689655167,1,-0.07254620689655167,1,-0.07254620689655167,1,-0.07254620689655167,1,-0.07254620689655167,1,-0.07254620689655167,1,-0.07254620689655167,1,-0.07254620689655167,1,-0.07254620689655167,1,-0.07254620689655167,1,-0.07254620689655167,1,-0.07254620689655167,1,-0.06413793103448273,2,-0.06413793103448273,2,-0.06413793103448273,2,-0.06413793103448273,2,-0.10482758620689658,2,-0.10482758620689658,2,-0.10482758620689658,2,-0.10482758620689658,2,-0.12035310344827566,2,-0.12035310344827566,2,-0.12035310344827566,2,-0.12035310344827566,2,-0.09166896551724124,-0.09166896551724124,-0.09166896551724124,-0.09166896551724124,-0.09166896551724124,-0.09166896551724124,2020
2026-03-04,001390,A,KOSPI,True,False,-0.15992647058823528,-0.04485722496538391,0.06143326039387308,0.09518599562363239,0.09518599562363228,1,목표,0.13393873085339159,4,0.39168490153172875,0.09518599562363228,1,0.06345733041575485,1,0.12691466083150993,3,0.22599562363238523,4,0.09518599562363228,1,0.06345733041575485,1,0.12691466083150993,3,0.1726914660831509,4,0.09518599562363228,1,0.06345733041575485,1,0.12691466083150993,3,0.06608315098468265,4,0.09518599562363228,1,0.06345733041575485,1,0.12691466083150993,3,0.22599562363238523,4,0.09518599562363228,1,0.06345733041575485,1,0.12691466083150993,3,0.1726914660831509,4,0.09518599562363228,1,0.06345733041575485,1,0.12691466083150993,3,0.06608315098468265,4,0.09518599562363228,1,0.06345733041575485,1,0.12691466083150993,3,0.22599562363238523,4,0.09518599562363228,1,0.06345733041575485,1,0.12691466083150993,3,0.1726914660831509,4,0.09518599562363228,1,0.06345733041575485,1,0.12691466083150993,3,0.06608315098468265,4,0.16059080962800876,0.16059080962800876,0.13393873085339159,0.13393873085339159,0.08063457330415746,0.08063457330415746,2026
2023-03-10,001390,A,KOSPI,True,True,-0.1504424778761062,0.046535395516794864,0.054253472222222224,0.08854166666666669,0.08854166666666652,4,목표,0.06295138888888885,6,0.2465277777777779,0.08854166666666652,4,0.05902777777777768,3,0.11805555555555558,4,0.084513888888889,5,0.08854166666666652,4,0.05902777777777768,3,0.11805555555555558,4,0.03736111111111118,6,0.08854166666666652,4,0.05902777777777768,3,0.11805555555555558,4,0.836111111111111,32,0.08854166666666652,4,0.05902777777777768,3,0.11805555555555558,4,0.084513888888889,5,0.08854166666666652,4,0.05902777777777768,3,0.11805555555555558,4,0.03736111111111118,6,0.08854166666666652,4,0.05902777777777768,3,0.11805555555555558,4,0.836111111111111,32,0.08854166666666652,4,0.05902777777777768,3,0.11805555555555558,4,0.084513888888889,5,0.08854166666666652,4,0.05902777777777768,3,0.11805555555555558,4,0.03736111111111118,6,0.08854166666666652,4,0.05902777777777768,3,0.11805555555555558,4,0.836111111111111,32,0.08652777777777776,0.08652777777777776,0.06295138888888885,0.06295138888888885,0.4623263888888888,0.4623263888888888,2023
2011-08-22,000800,S2a,KOSPI,True,True,-0.14225941422594146,-0.06179205345496985,0.0953658536585366,0.08292682926829273,0.08292682926829276,2,목표,0.04146341463414638,3,-0.16390243902439028,0.08292682926829276,2,0.05528455284552858,1,0.018731707317073187,3,0.018731707317073187,3,0.08292682926829276,2,0.05528455284552858,1,0.11056910569105693,9,-0.016975609756097465,11,0.08292682926829276,2,0.05528455284552858,1,0.11056910569105693,9,-0.050000000000000155,11,0.08292682926829276,2,0.05528455284552858,1,0.018731707317073187,3,0.018731707317073187,3,0.08292682926829276,2,0.05528455284552858,1,0.11056910569105693,9,-0.016975609756097465,11,0.08292682926829276,2,0.05528455284552858,1,0.11056910569105693,9,-0.030000000000000027,11,0.08292682926829276,2,0.05528455284552858,1,0.018731707317073187,3,0.018731707317073187,3,0.08292682926829276,2,0.05528455284552858,1,0.11056910569105693,9,-0.016975609756097465,11,0.08292682926829276,2,0.05528455284552858,1,0.11056910569105693,9,-0.07999999999999996,23,0.05082926829268297,0.05082926829268297,0.04146341463414638,0.032975609756097646,0.04146341463414638,-0.011707317073170631,2011
