출발일,code,name,유형,등급,국면,시장낙폭,당시종가,2일누적,핵심선,카드수익,청산,경과일,40일수익,시총,표준수익,표준봉,표준how,단기수익,단기봉,단기how,창완결126,창완결20
2026-07-30,082920,비츠로셀,A,B,실행,-37.8,24700.0,-16.6,주60주,9.9,목표,1,,1387387996200,0.192672064777328,11,2단트레일,0.06612685560053966,1,목표전량,False,False
2026-07-30,440110,파두,A,B,실행,-37.8,48400.0,-14.0,월10,8.2,목표,1,,3251582612300,0.14807851239669423,5,2단트레일,0.05440771349862272,1,목표전량,False,False
2026-07-30,252990,샘씨엔에스,A,B,실행,-37.8,9070.0,-19.1,일240,11.8,목표,1,,768380263640,0.2599779492833517,5,2단트레일,0.0786475560455715,1,목표전량,False,False
2026-07-30,332570,PS일렉트로닉스,A,A,실행,-37.8,6460.0,-14.3,일240,8.4,목표,1,,338658831750,0.201795665634675,5,2단트레일,0.05572755417956654,1,목표전량,False,False
2026-07-30,053610,프로텍,A,A,실행,-37.8,48200.0,-15.7,주60주,9.3,목표,1,,583200000000,0.20941908713692936,13,2단트레일,0.06224066390041494,1,목표전량,False,False
2026-07-30,290550,디케이티,A,A,실행,-37.8,14020.0,-23.3,일240,15.2,목표,1,,420025830000,0.2036376604850214,4,2단트레일,0.10128388017118395,1,목표전량,False,False
2026-07-30,010120,LS ELECTRIC,A,B,실행,-37.8,148500.0,-15.4,일240,9.1,목표,1,,30000000000000,0.20026936026936026,13,2단트레일,0.06060606060606055,1,목표전량,False,False
2026-07-30,006360,GS건설,A,C,실행,-37.8,22400.0,-12.2,주60주,6.9,목표,1,,2490421359000,0.2545089285714286,13,2단트레일,0.04613095238095233,1,목표전량,False,False
2026-07-30,001820,삼화콘덴서,A,C,실행,-37.8,58300.0,-14.4,일240,8.4,목표,1,,857587500000,0.1978730703259005,5,2단트레일,0.056032018296169106,1,목표전량,False,False
2026-07-30,069960,현대백화점,A,C,실행,-37.8,111200.0,-12.7,월10,7.3,목표,1,,2956549435200,0.03642086330935257,3,2단트레일,0.04856115107913661,1,목표전량,False,False
2026-07-30,170920,엘티씨,A,C,실행,-37.8,26250.0,-20.9,주60주,13.2,목표,1,,425734277800,0.24337142857142857,6,2단트레일,0.08825396825396825,1,목표전량,False,False
2026-07-30,011070,LG이노텍,A,B,실행,-37.8,420000.0,-18.3,일240,11.2,목표,1,,14531603698000,0.20757142857142863,6,2단트레일,0.07460317460317456,1,목표전량,False,False
2026-07-30,222800,심텍,A,C,실행,-37.8,62400.0,-17.4,주60주,10.5,목표,1,,3457920831300,0.38030448717948717,6,2단트레일,0.06997863247863245,1,목표전량,False,False
2026-07-30,281820,케이씨텍,A,C,실행,-37.8,55300.0,-15.2,월10,9.0,목표,1,,1514597566500,0.15184448462929467,5,2단트레일,0.05967450271247743,1,목표전량,False,False
2026-07-30,064290,인텍플러스,A,B,실행,-37.8,21850.0,-19.4,일240,12.0,목표,1,,401780433600,0.14707093821510298,3,2단트레일,0.08009153318077811,1,목표전량,False,False
2026-07-30,127120,제이에스링크,A,B,실행,-37.8,28150.0,-12.6,일240,2.8,진행중,1,,1157266841400,-0.06216696269982236,3,트레일,0.047957371225577194,1,목표전량,False,False
2026-07-30,017900,광전자,A,A,실행,-37.8,4380.0,-14.5,일240,8.4,목표,1,,328541136210,0.29465753424657526,5,2단트레일,0.05631659056316596,1,목표전량,False,False
2026-07-30,031980,피에스케이홀딩스,A,C,실행,-37.8,76100.0,-19.2,일240,11.9,목표,1,,2404207042500,0.19546649145860717,6,2단트레일,0.07928164695576001,1,목표전량,False,False
2026-07-30,353200,대덕전자,A,B,실행,-37.8,73500.0,-19.5,일240,12.1,목표,1,,5406211595000,0.3142312925170069,13,2단트레일,0.08072562358276647,1,목표전량,False,False
2026-07-30,047040,대우건설,A,B,실행,-37.8,11180.0,-16.8,일240,10.1,목표,1,,6237577944840,0.30319320214669065,13,2단트레일,0.06708407871198574,1,목표전량,False,False
2026-07-30,010170,대한광통신,A,C,실행,-37.8,7150.0,-15.4,월10,9.1,목표,1,,1514430328400,0.3306853146853146,5,2단트레일,0.06060606060606055,1,목표전량,False,False
2026-07-29,066575,LG전자우,A,A,실행,-37.9,53000.0,-14.7,주60주,8.6,목표,2,,1066958667900,0.1954528301886792,15,2단트레일,0.05723270440251582,2,목표전량,False,False
2026-07-29,322000,HD현대에너지솔루션,A,B,실행,-37.9,99500.0,-26.2,일240,12.7,진행중,2,,1509760000000,0.22326633165829146,7,2단트레일,0.11825795644891124,1,목표전량,False,False
2026-07-29,240810,원익IPS,A,A,실행,-37.9,83200.0,-21.5,주60주,-5.6,손절,1,,5202893506000,-0.056118289262820586,1,손절,-0.056118289262820586,1,손절,False,False
2026-07-29,016360,삼성증권,A,B,실행,-37.9,87900.0,-13.3,주60주,7.7,목표,1,,9055020000000,0.04897610921501705,13,2단트레일,0.05119453924914685,1,목표전량,False,False
2026-07-29,005380,현대차,A,C,실행,-37.9,353500.0,-12.3,주60주,7.0,목표,2,,82517379698000,0.12553041018387556,15,2단만기,0.04667609618104662,2,목표전량,False,False
2026-07-29,004800,효성,A,C,실행,-37.9,122400.0,-19.5,주60주,12.1,목표,2,,2546215904700,0.21752450980392157,15,2단만기,0.0808823529411764,2,목표전량,False,False
2026-07-29,307950,현대오토에버,A,B,실행,-37.9,338000.0,-14.2,주60주,8.3,목표,2,,10805048908000,0.20272189349112424,13,2단트레일,0.05522682445759375,2,목표전량,False,False
2026-07-29,166090,하나머티리얼즈,A,C,실행,-37.9,45450.0,-19.0,주60주,11.7,목표,2,,1109527511400,0.1975247524752476,11,2단트레일,0.0781078107810782,2,목표전량,False,False
2026-07-29,082920,비츠로셀,A,B,실행,-37.9,26100.0,-14.7,일240,5.4,진행중,2,,1387387996200,0.15168582375478934,12,2단트레일,0.05747126436781613,2,목표전량,False,False
2026-07-29,098460,고영,A,C,실행,-37.9,22750.0,-17.7,주60주,10.8,목표,2,,1885846489450,0.19402197802197807,14,2단트레일,0.07179487179487176,2,목표전량,False,False
2026-07-29,010060,OCI홀딩스,A,A,실행,-37.9,170100.0,-17.4,일240,10.6,목표,1,,3846067792000,0.06001763668430338,2,2단트레일,0.07035077405447776,1,목표전량,False,False
2026-07-29,049070,인탑스,A,C,실행,-37.9,16310.0,-14.2,주60주,6.2,진행중,2,,312827533000,0.08347639484978542,14,2단트레일,0.054976497036582916,2,목표전량,False,False
2026-07-29,053610,프로텍,A,A,실행,-37.9,49850.0,-23.1,일240,15.0,목표,2,,583200000000,0.21577733199598803,14,2단트레일,0.09996656636576406,2,목표전량,False,False
2026-07-29,267270,HD건설기계,A,A,실행,-37.9,118300.0,-12.1,일240,6.9,목표,1,,6450287336200,0.034446322907861315,2,2단트레일,0.04592843054381501,1,목표전량,False,False
2026-07-29,031980,피에스케이홀딩스,A,A,실행,-37.9,82100.0,-26.4,월10,17.9,목표,2,,2404207042500,0.17904993909866018,7,2단트레일,0.11936662606577353,2,목표전량,False,False
2026-07-29,008060,대덕,A,B,실행,-37.9,11730.0,-17.1,주60주,10.3,목표,2,,442712436700,0.21867007672634264,15,2단만기,0.06876953680022724,2,목표전량,False,False
2026-07-29,006260,LS,A,C,실행,-37.9,243500.0,-20.2,주60주,9.7,진행중,2,,9516000000000,0.20371663244353178,7,2단트레일,0.0841889117043122,2,목표전량,False,False
2026-07-29,252990,샘씨엔에스,A,A,실행,-37.9,9930.0,-22.2,월10,-5.7,손절,1,,768380263640,-0.05746223564954689,1,손절,-0.05746223564954689,1,손절,False,False
2026-07-29,067310,하나마이크론,A,C,실행,-37.9,26650.0,-24.3,주60주,11.4,진행중,2,,2340478588800,0.29592870544090055,14,2단트레일,0.10694183864915563,2,목표전량,False,False
2026-07-29,009420,한올바이오파마,A,C,실행,-37.9,41700.0,-12.2,주60주,-8.4,손절,1,,2481430305000,-0.08417266187050365,1,손절,-0.08417266187050365,1,손절,False,False
2026-07-29,181710,NHN,A,B,실행,-37.9,33550.0,-16.3,일240,9.8,목표,2,,1313400873900,0.574381520119225,14,2단트레일,0.06507699950322898,1,목표전량,False,False
2026-07-29,170920,엘티씨,A,A,실행,-37.9,29600.0,-26.6,월10,-5.9,손절,1,,425734277800,-0.059018581081081156,1,손절,-0.059018581081081156,1,손절,False,False
2026-07-29,000150,두산,A,A,실행,-37.9,999000.0,-16.5,주60주,-6.8,손절,1,,19384020495000,-0.06835335335335335,1,손절,-0.06835335335335335,1,손절,False,False
2026-07-29,010170,대한광통신,A,A,실행,-37.9,7450.0,-23.5,월10,-5.3,손절,1,,1514430328400,-0.053200671140939626,1,손절,-0.053200671140939626,1,손절,False,False
2026-07-29,017900,광전자,A,A,실행,-37.9,4500.0,-20.6,일240,13.0,목표,2,,328541136210,0.2973555555555555,6,2단트레일,0.08666666666666667,2,목표전량,False,False
2026-07-29,006360,GS건설,A,C,실행,-37.9,22200.0,-23.7,주60주,5.6,진행중,2,,2490421359000,0.30409909909909916,14,2단트레일,0.10360360360360366,3,목표전량,False,False
2026-07-29,375500,DL이앤씨,A,C,실행,-37.9,52400.0,-18.0,주60주,11.0,목표,2,,2472522509700,0.1972328244274809,14,2단트레일,0.07315521628498733,1,목표전량,False,False
2026-07-29,138930,BNK금융지주,A,C,실행,-37.9,14960.0,-17.4,주60주,1.4,진행중,2,,5623125837960,-0.044117647058823484,15,만기,-0.04617647058823526,14,트레일,False,False
2026-07-29,028260,삼성물산,A,A,실행,-37.9,285500.0,-15.9,일240,9.5,목표,1,,55055893749500,0.09824868651488616,4,2단트레일,0.06304728546409799,1,목표전량,False,False
2026-07-29,000500,가온전선,A,C,실행,-37.9,122400.0,-33.0,주60주,-12.9,손절,1,,5437391038200,-0.12916666666666665,1,손절,-0.12916666666666665,1,손절,False,False
2026-07-29,083450,GST,A,A,실행,-37.9,35950.0,-18.3,월10,11.2,목표,2,,810920000000,0.20955493741307374,13,2단트레일,0.07464070468242934,2,목표전량,False,False
2026-07-29,222800,심텍,A,A,실행,-37.9,68600.0,-25.7,일240,-8.9,손절,1,,3457920831300,-0.08923712342079682,1,손절,-0.08923712342079682,1,손절,False,False
2026-07-29,006400,삼성SDI,A,A,실행,-37.9,364000.0,-15.5,일240,9.2,목표,2,,34732363430000,0.2321428571428571,15,2단만기,0.06135531135531136,1,목표전량,False,False
