출발일,code,name,유형,등급,국면,시장낙폭,당시종가,2일누적,핵심선,카드수익,청산,경과일,40일수익,시총
2026-07-30,082920,비츠로셀,A,B,실행,-37.8,24700.0,-16.6,주60주,9.9,목표,1,,1387387996200
2026-07-30,440110,파두,A,B,실행,-37.8,48400.0,-14.0,월10,8.2,목표,1,,3251582612300
2026-07-30,252990,샘씨엔에스,A,B,실행,-37.8,9070.0,-19.1,일240,11.8,목표,1,,768380263640
2026-07-30,332570,PS일렉트로닉스,A,A,실행,-37.8,6460.0,-14.3,일240,8.4,목표,1,,338658831750
2026-07-30,053610,프로텍,A,A,실행,-37.8,48200.0,-15.7,주60주,9.3,목표,1,,583200000000
2026-07-30,290550,디케이티,A,A,실행,-37.8,14020.0,-23.3,일240,15.2,목표,1,,420025830000
2026-07-30,010120,LS ELECTRIC,A,B,실행,-37.8,148500.0,-15.4,일240,9.1,목표,1,,30000000000000
2026-07-30,006360,GS건설,A,C,실행,-37.8,22400.0,-12.2,주60주,6.9,목표,1,,2490421359000
2026-07-30,001820,삼화콘덴서,A,C,실행,-37.8,58300.0,-14.4,일240,8.4,목표,1,,857587500000
2026-07-30,069960,현대백화점,A,C,실행,-37.8,111200.0,-12.7,월10,7.3,목표,1,,2956549435200
2026-07-30,170920,엘티씨,A,C,실행,-37.8,26250.0,-20.9,주60주,13.2,목표,1,,425734277800
2026-07-30,011070,LG이노텍,A,B,실행,-37.8,420000.0,-18.3,일240,11.2,목표,1,,14531603698000
2026-07-30,222800,심텍,A,C,실행,-37.8,62400.0,-17.4,주60주,10.5,목표,1,,3457920831300
2026-07-30,281820,케이씨텍,A,C,실행,-37.8,55300.0,-15.2,월10,9.0,목표,1,,1514597566500
2026-07-30,064290,인텍플러스,A,B,실행,-37.8,21850.0,-19.4,일240,12.0,목표,1,,401780433600
2026-07-30,127120,제이에스링크,A,B,실행,-37.8,28150.0,-12.6,일240,2.8,진행중,1,,1157266841400
2026-07-30,017900,광전자,A,A,실행,-37.8,4380.0,-14.5,일240,8.4,목표,1,,328541136210
2026-07-30,031980,피에스케이홀딩스,A,C,실행,-37.8,76100.0,-19.2,일240,11.9,목표,1,,2404207042500
2026-07-30,353200,대덕전자,A,B,실행,-37.8,73500.0,-19.5,일240,12.1,목표,1,,5406211595000
2026-07-30,047040,대우건설,A,B,실행,-37.8,11180.0,-16.8,일240,10.1,목표,1,,6237577944840
2026-07-30,010170,대한광통신,A,C,실행,-37.8,7150.0,-15.4,월10,9.1,목표,1,,1514430328400
