출발일,code,유형,국면,PER,PBR,EPS,DIV,ex,f40,peak6,PER군,PBR군,DIV군
2002-02-15,000660,A,주의,0.0,0.0,0.0,0.0,-5.0,-32.25806451612902,10.7,적자/무실적,,무배당
2002-03-08,030200,B,주의,18.02,0.0,3236.0,1.03,7.118644067796601,-4.23728813559322,13.2,중고PER(15~30),,배당<2%
2002-04-12,003620,A,주의,0.0,0.0,0.0,0.0,-5.328078078078089,-43.75959436200399,2.7,적자/무실적,,무배당
2002-04-23,009720,A,주의,5.27,0.0,21265.0,1.79,-6.5979296875,-5.87499999999999,12.1,저PER(<8),,배당<2%
2002-04-25,008270,A,실행,0.0,0.0,0.0,0.0,-5.0,-36.27118644067797,3.4,적자/무실적,,무배당
2002-04-26,002610,B,실행,10.16,0.0,4431.0,2.22,-5.39117393759706,-54.00254129606099,-15.0,중PER(8~15),,배당2%+
2002-04-29,002610,A,실행,10.16,0.0,4431.0,2.22,-5.66742719924707,-48.20627802690582,-14.9,중PER(8~15),,배당2%+
2002-04-30,001830,A,실행,0.0,0.62,0.0,0.0,9.43025540275048,-10.21611001964636,37.7,적자/무실적,저PBR(<0.8),무배당
2002-05-15,015940,A,실행,0.0,0.9,0.0,0.0,-5.0,-22.151898734177212,0.4,적자/무실적,중PBR(0.8~1.5),무배당
2002-05-29,008770,A,실행,43.65,0.99,252.0,1.82,-6.2360594795539,-16.109045848822802,0.0,고PER(30+),중PBR(0.8~1.5),배당<2%
2002-05-30,009410,A,실행,6.35,1.07,6711.0,2.11,7.14285714285714,-10.28571428571427,11.4,저PER(<8),중PBR(0.8~1.5),배당2%+
2002-05-31,017670,B,실행,20.53,3.36,13176.0,0.26,-8.9706099815157,-16.82070240295747,5.2,중고PER(15~30),고PBR(3+),배당<2%
2002-05-31,005890,A,실행,0.0,0.66,0.0,0.0,-5.0,-12.21945137157107,4.9,적자/무실적,저PBR(<0.8),무배당
2002-06-17,034020,A,실행,31.05,0.49,257.0,1.88,-6.09826589595375,-24.85549132947977,2.2,고PER(30+),저PBR(<0.8),배당<2%
2002-06-19,002790,A,실행,9.4,2.41,13832.0,1.12,7.84313725490195,27.450980392156847,61.8,중PER(8~15),중고PBR(1.5~3),배당<2%
2002-06-25,009150,A,실행,49.83,3.22,1435.0,0.7,-11.72627737226277,4.379562043795611,19.7,고PER(30+),고PBR(3+),배당<2%
2002-06-26,003540,A,실행,16.58,1.3,1363.0,3.32,10.73529411764706,17.05882352941177,36.5,중고PER(15~30),중PBR(0.8~1.5),배당2%+
2002-06-26,010140,A,실행,18.08,0.58,239.0,0.0,7.586618876941451,5.0179211469534,15.4,중고PER(15~30),저PBR(<0.8),무배당
2002-06-26,000700,A,실행,0.0,0.52,0.0,5.72,7.000000000000001,10.0,44.4,적자/무실적,저PBR(<0.8),배당2%+
2002-06-26,001450,A,실행,0.0,2.56,0.0,0.0,12.091503267973849,16.1764705882353,37.3,적자/무실적,중고PBR(1.5~3),무배당
2002-06-26,001120,A,실행,10.07,0.8,576.0,6.9,8.51449275362319,34.29951690821256,56.3,중PER(8~15),중PBR(0.8~1.5),배당2%+
2002-06-26,003690,A,실행,14.23,1.54,2706.0,2.6,11.04651162790695,17.44186046511626,31.4,중PER(8~15),중고PBR(1.5~3),배당2%+
2002-06-26,009150,A,실행,49.83,3.22,1435.0,0.7,10.48387096774192,10.48387096774192,32.3,고PER(30+),고PBR(3+),배당<2%
2002-06-27,001450,A,실행,0.0,2.56,0.0,0.0,7.784911717496,13.0016051364366,34.8,적자/무실적,중고PBR(1.5~3),무배당
2002-06-27,005385,A,실행,0.0,0.0,0.0,4.57,12.39130434782609,30.869565217391298,53.9,적자/무실적,,배당2%+
2002-06-27,003540,A,실행,16.58,1.3,1363.0,3.32,9.375,16.07142857142858,38.1,중고PER(15~30),중PBR(0.8~1.5),배당2%+
2002-07-11,018880,A,실행,8.0,1.86,6736.0,1.25,-5.91283084004602,-3.4522439585730598,15.1,중PER(8~15),중고PBR(1.5~3),배당<2%
2002-07-11,001830,A,실행,0.0,0.56,0.0,0.0,7.18336483931947,-21.172022684310022,24.2,적자/무실적,저PBR(<0.8),무배당
2002-07-22,014900,A,실행,45.38,0.58,173.0,0.0,9.26829268292683,4.87804878048778,43.3,고PER(30+),저PBR(<0.8),무배당
